Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.567.932; 128.218;   7.349;   1.332
Sjælland; 656.233;  36.722;   2.544;     405
Syddanmark; 979.481;  38.345;   1.770;     220
Midtjylland;1.069.092;  47.085;   2.195;     353
Nordjylland; 498.604;  18.776;     940;     184
