"IndberetningDato";"Totalt antal tests";"Antal testede personer";"Antal bekræftede tilfælde";"Antal overstået infektion";"Antal døde";"Antal nye bekræftede tilfælde";"Antal nye døde";"Antal nye overstået infektion";"Antal indlagte i dag med COVID";"Antal indlagt i dag og i respirator";"Antal indlagt i dag på intensiv";"Antal nye indlæggelser";"Ændring i antal indlæggelser";"Ændring i antal i respirator";"Ændring i antal på intensiv";"Førstegangstestede";"Antal prøver siden sidst";"Daily_Infected_Diff"
2020-04-02;0;0;0;0;0;0;0;0;527;124;146;0;0;0;0;0;0;0
2020-04-03;0;0;0;0;0;0;0;0;511;121;139;50;-16;-3;-7;0;0;0
2020-04-04;0;0;0;0;0;0;0;0;498;115;137;57;-13;-6;-2;0;0;0
2020-04-05;0;0;0;0;0;0;0;0;490;111;138;39;-8;-4;1;0;0;0
2020-04-06;0;0;0;0;0;0;0;0;488;110;133;38;-2;-1;-5;0;0;0
2020-04-07;0;0;0;0;0;0;0;0;466;103;127;51;-22;-7;-6;0;0;0
2020-04-08;0;0;0;0;0;0;0;0;446;103;127;44;-20;0;0;0;0;0
2020-04-09;0;0;0;0;0;0;0;0;427;100;120;42;-19;-3;-7;0;0;0
2020-04-10;0;0;0;0;0;0;0;0;398;95;113;30;-29;-5;-7;0;0;0
2020-04-11;0;0;0;0;0;0;0;0;402;90;106;45;4;-5;-7;0;0;0
2020-04-12;0;0;0;0;0;0;0;0;391;85;104;29;-11;-5;-2;0;0;0
2020-04-13;0;0;0;0;0;0;0;0;381;87;100;24;-10;2;-4;0;0;0
2020-04-14;0;0;0;0;0;0;0;0;374;80;93;30;-7;-7;-7;0;0;0
2020-04-15;0;0;0;0;0;0;0;0;355;75;89;40;-19;-5;-4;0;0;0
2020-04-16;0;0;0;0;0;0;0;0;341;72;92;33;-14;-3;3;0;0;0
2020-04-17;0;0;0;0;0;0;0;0;337;74;93;26;-4;2;1;0;0;0
2020-04-18;0;0;0;0;0;0;0;0;304;76;87;23;-33;2;-6;0;0;0
2020-04-19;0;0;0;0;0;0;0;0;303;73;84;21;-1;-3;-3;0;0;0
2020-04-20;0;0;0;0;0;0;0;0;321;72;84;38;18;-1;0;0;0;0
2020-04-21;0;0;0;0;0;0;0;0;315;72;81;35;-6;0;-3;0;0;0
2020-04-22;0;0;0;0;0;0;0;0;309;68;80;29;-6;-4;-1;0;0;0
2020-04-23;0;0;0;0;0;0;0;0;303;61;74;33;-6;-7;-6;0;0;0
2020-04-24;0;0;0;0;0;0;0;0;303;58;69;30;0;-3;-5;0;0;0
2020-04-25;0;0;0;0;0;0;0;0;276;56;70;28;-27;-2;1;0;0;0
2020-04-26;0;0;0;0;0;0;0;0;273;56;70;17;-3;0;0;0;0;0
2020-04-27;0;0;0;0;0;0;0;0;293;55;72;30;20;-1;2;0;0;0
2020-04-28;0;0;0;0;0;0;0;0;271;50;66;20;-22;-5;-6;0;0;0
2020-04-29;0;0;0;0;0;0;0;0;254;50;65;15;-17;0;-1;0;0;0
2020-04-30;0;0;0;0;0;0;0;0;236;50;62;13;-18;0;-3;0;0;0
2020-05-01;0;0;0;0;0;0;0;0;229;44;61;22;-7;-6;-1;0;0;0
2020-05-02;0;0;0;0;0;0;0;0;214;44;60;13;-15;0;-1;0;0;0
2020-05-03;0;0;0;0;0;0;0;0;225;46;62;24;11;2;2;0;0;0
2020-05-04;0;0;0;0;0;0;0;0;228;45;57;16;3;-1;-5;0;0;0
2020-05-05;0;0;0;0;0;0;0;0;209;39;49;12;-19;-6;-8;0;0;0
2020-05-06;0;0;0;0;0;0;0;0;190;41;46;11;-19;2;-3;0;0;0
2020-05-07;0;0;0;0;0;0;0;0;178;39;43;15;-12;-2;-3;0;0;0
2020-05-08;0;0;0;0;0;0;0;0;183;35;42;18;5;-4;-1;0;0;0
2020-05-09;0;0;0;0;0;0;0;0;169;32;39;10;-14;-3;-3;0;0;0
2020-05-10;365706;317834;10429;8217;529;0;0;0;174;33;39;13;5;1;0;0;0;0
2020-05-11;375766;326560;10513;8328;533;84;4;111;173;33;42;7;-1;0;3;8726;10060;84
2020-05-12;386751;334260;10591;8580;527;78;-6;252;151;32;42;6;-22;-1;0;7700;10985;-6
2020-05-13;401231;345712;10667;8663;533;76;6;83;138;32;37;8;-13;0;-5;11452;14480;-2
2020-05-14;416835;357986;10713;8805;537;46;4;142;128;28;35;9;-10;-4;-2;12274;15604;-30
2020-05-15;430833;368889;10791;8959;537;78;0;154;120;26;32;8;-8;-2;-3;10903;13998;32
2020-05-16;444562;379482;10858;9107;543;67;6;148;115;22;28;17;-5;-4;-4;10593;13729;-11
2020-05-17;455613;388703;10927;9227;547;69;4;120;113;21;27;9;-2;-1;-1;9221;11051;2
2020-05-18;463016;394394;10968;9301;548;41;1;74;118;21;26;6;5;0;-1;5691;7403;-28
2020-05-19;475096;402194;11044;9416;551;76;3;115;115;18;25;11;-3;-3;-1;7800;12080;35
2020-05-20;488491;412051;11117;9536;554;73;3;120;103;16;25;7;-12;-2;0;9857;13395;-3
2020-05-21;504266;425101;11182;9643;561;65;7;107;100;18;23;10;-3;2;-2;13050;15775;-8
2020-05-22;514765;433971;11230;9764;561;48;0;121;100;19;23;5;0;1;0;8870;10499;-17
2020-05-23;526285;442650;11289;9836;561;59;0;72;102;16;19;16;2;-3;-4;8679;11520;11
2020-05-24;537742;451450;11360;9900;562;71;1;64;100;17;20;10;-2;1;1;8800;11457;12
2020-05-25;546621;458305;11387;9964;563;27;1;64;102;16;19;3;2;-1;-1;6855;8879;-44
2020-05-26;559545;467009;11428;10044;563;41;0;80;97;14;22;7;-5;-2;3;8704;12924;14
2020-05-27;576061;480239;11480;10106;565;52;2;62;91;11;22;10;-6;-3;0;13230;16516;11
2020-05-28;583052;484482;11512;10180;568;32;3;74;96;11;20;11;5;0;-2;4243;6991;-20
2020-05-29;606574;504543;11593;10240;568;81;0;60;93;10;18;8;-3;-1;-2;20061;23522;49
2020-05-30;618860;514467;11633;10327;571;40;3;87;87;11;20;8;-6;1;2;9924;12286;-41
2020-05-31;628965;522594;11669;10362;574;36;3;35;85;10;20;5;-2;-1;0;8127;10105;-4
2020-06-01;637738;528982;11699;10412;576;30;2;50;88;11;20;5;3;1;0;6388;8773;-6
2020-06-02;646086;534782;11734;10489;580;35;4;77;86;11;21;6;-2;0;1;5800;8348;5
2020-06-03;657999;542895;11771;10552;580;37;0;63;82;10;20;6;-4;-1;-1;8113;11913;2
2020-06-04;671558;552888;11811;10620;582;40;2;68;76;8;17;3;-6;-2;-3;9993;13559;3
2020-06-05;684557;562905;11875;10653;586;64;4;33;66;10;17;3;-10;2;0;10017;12999;24
2020-06-06;696334;571832;11924;10721;587;49;1;68;68;9;15;9;2;-1;-2;8927;11777;-15
2020-06-07;706442;579400;11948;10755;589;24;2;34;65;9;15;2;-3;0;0;7568;10108;-25
2020-06-08;715100;585024;11962;10792;593;14;4;37;66;7;16;4;1;-2;1;5624;8658;-10
2020-06-09;730924;594790;12001;10849;593;39;0;57;59;5;15;6;-7;-2;-1;9766;15824;25
2020-06-10;739575;602118;12016;10904;593;15;0;55;57;7;17;1;-2;2;2;7328;8651;-24
2020-06-11;749467;609672;12035;10955;593;19;0;51;51;6;13;3;-6;-1;-4;7554;9892;4
2020-06-12;771881;627155;12099;10993;594;64;1;38;51;6;12;4;0;0;-1;17483;22414;45
2020-06-13;786198;637701;12139;11035;597;40;3;42;47;4;9;4;-4;-2;-3;10546;14317;-24
2020-06-14;799876;648326;12193;11068;597;54;0;33;49;4;9;5;2;0;0;10625;13678;14
2020-06-15;810838;656418;12217;11090;598;24;1;22;46;4;9;0;-3;0;0;8092;10962;-30
2020-06-16;823249;664603;12250;11125;598;33;0;35;43;4;8;4;-3;0;-1;8185;12411;9
2020-06-17;840721;677270;12294;11185;598;44;0;60;39;4;6;4;-4;0;-2;12667;17472;11
2020-06-18;859514;691419;12344;11242;600;50;2;57;38;3;6;6;-1;-1;0;14149;18793;6
2020-06-19;876344;704269;12391;11282;600;47;0;40;37;2;6;5;-1;-1;0;12850;16830;-3
2020-06-20;0;0;0;0;0;0;0;0;39;3;6;4;2;1;0;0;0;0
2020-06-21;0;0;0;0;0;0;0;0;38;4;6;4;-1;1;0;0;0;0
2020-06-22;923893;738916;12527;11347;602;136;2;65;37;4;7;5;-1;0;1;34647;47549;89
2020-06-23;939386;749603;12561;11393;603;34;1;46;32;5;8;4;-5;1;1;10687;15493;-102
2020-06-24;960076;765002;12615;11422;603;54;0;29;33;4;8;7;1;-1;0;15399;20690;20
2020-06-25;981082;780330;12636;11460;603;21;0;38;36;4;9;7;3;0;1;15328;21006;-33
2020-06-26;998736;793499;12675;11508;604;39;1;48;31;4;11;2;-5;0;2;13169;17654;18
2020-06-27;0;0;0;0;0;0;0;0;29;4;11;2;-2;0;0;0;0;0
2020-06-28;0;0;0;0;0;0;0;0;30;4;10;3;1;0;-1;0;0;0
2020-06-29;1040047;822264;12751;11612;605;76;1;104;35;4;9;7;5;0;-1;28765;41311;37
2020-06-30;1053453;831196;12768;11649;605;17;0;37;32;4;10;2;-3;0;1;8932;13406;-59
2020-07-01;1071479;843483;12794;11693;606;26;1;44;29;4;11;0;-3;0;1;12287;18026;9
2020-07-02;1088788;855637;12815;11769;606;21;0;76;29;5;9;2;0;1;-2;12154;17309;-5
2020-07-03;1106377;868185;12832;11817;606;17;0;48;27;4;6;6;-2;-1;-3;12548;17589;-4
2020-07-04;0;0;0;0;0;0;0;0;26;4;6;4;-1;0;0;0;0;0
2020-07-05;0;0;0;0;0;0;0;0;24;4;6;1;-2;0;0;0;0;0
2020-07-06;1145221;894073;12878;11935;607;46;1;118;23;4;7;2;-1;0;1;25888;38844;29
2020-07-07;1157601;902129;12888;11983;609;10;2;48;17;4;5;2;-6;0;-2;8056;12380;-36
2020-07-08;1174919;913373;12900;12001;609;12;0;18;18;4;5;3;1;0;0;11244;17318;2
2020-07-09;1191302;924644;12916;12045;609;16;0;44;18;4;5;1;0;0;0;11271;16383;4
2020-07-10;1206863;935053;12946;12077;609;30;0;32;17;4;4;2;-1;0;-1;10409;15561;14
