"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,36684,19069,590414
Midtjylland,80618,40559,1332511
Syddanmark,75529,38280,1223486
Hovedstaden,99064,57597,1855515
Sjælland,56438,22928,838866
