"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;463456;456535;33583;78.3;77.1;5.7;591894
Midtjylland;1036025;1021535;73292;77.3;76.2;5.5;1341065
Syddanmark;946245;933178;69866;77.1;76.0;5.7;1227469
Hovedstaden;1391134;1365594;100129;74.5;73.1;5.4;1867213
Sjælland;646397;637707;48727;76.7;75.7;5.8;842864
