"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;16976;54
AstraZeneca Covid-19 vaccine;Midtjylland;33915;136
AstraZeneca Covid-19 vaccine;Syddanmark;30717;402
AstraZeneca Covid-19 vaccine;Hovedstaden;46014;754
AstraZeneca Covid-19 vaccine;Sjælland;23972;431
Janssen COVID-19 vaccine;Nordjylland;3640;3640
Janssen COVID-19 vaccine;Midtjylland;9845;9845
Janssen COVID-19 vaccine;Syddanmark;7505;7505
Janssen COVID-19 vaccine;Hovedstaden;22507;22507
Janssen COVID-19 vaccine;Sjælland;2812;2812
Moderna Covid-19 Vaccine;Nordjylland;70173;68972
Moderna Covid-19 Vaccine;Midtjylland;122339;119812
Moderna Covid-19 Vaccine;Syddanmark;131321;157462
Moderna Covid-19 Vaccine;Hovedstaden;148361;144187
Moderna Covid-19 Vaccine;Sjælland;82311;102767
Pfizer BioNTech Covid-19 vacc;Nordjylland;372667;383869
Pfizer BioNTech Covid-19 vacc;Midtjylland;869926;891742
Pfizer BioNTech Covid-19 vacc;Syddanmark;776702;767809
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1174252;1198146
Pfizer BioNTech Covid-19 vacc;Sjælland;537302;531697
