"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;15;3;297583;0.0;0.0
0-9;M;14;3;314033;0.0;0.0
10-19;K;208152;201107;330424;63.0;60.9
10-19;M;216236;207888;346756;62.4;60.0
20-29;K;300174;290906;382720;78.4;76.0
20-29;M;306683;295558;398861;76.9;74.1
30-39;K;279702;270681;348715;80.2;77.6
30-39;M;282194;274555;362079;77.9;75.8
40-49;K;331457;327609;369106;89.8;88.8
40-49;M;322600;318734;369451;87.3;86.3
50-59;K;373368;371033;400799;93.2;92.6
50-59;M;374252;371957;404607;92.5;91.9
60-69;K;326143;325036;341581;95.5;95.2
60-69;M;316382;315389;331594;95.4;95.1
70-79;K;296107;295582;305097;97.1;96.9
70-79;M;267638;267174;275543;97.1;97.0
80-89;K;136492;136144;141043;96.8;96.5
80-89;M;101729;101524;104553;97.3;97.1
90+;K;30819;30626;32400;95.1;94.5
90+;M;13100;13040;13560;96.6;96.2
