"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-11-02;Hovedstaden;K;717961;705018;59376;717639;704814;57137;322;204;2239
2021-11-02;Hovedstaden;M;673173;660576;40753;672876;660358;39398;297;218;1355
2021-11-02;Midtjylland;K;524110;517194;44171;523831;516962;40955;279;232;3216
2021-11-02;Midtjylland;M;511915;504341;29121;511689;504182;27442;226;159;1679
2021-11-02;Nordjylland;K;232188;228982;20770;232099;228926;20002;89;56;768
2021-11-02;Nordjylland;M;231268;227553;12813;231210;227512;12429;58;41;384
2021-11-02;Sjælland;K;328933;324594;29586;328816;324521;28447;117;73;1139
2021-11-02;Sjælland;M;317464;313113;19141;317341;313056;18512;123;57;629
2021-11-02;Syddanmark;K;479237;472939;41781;479114;472849;40096;123;90;1685
2021-11-02;Syddanmark;M;467008;460239;28085;466902;460147;27073;106;92;1012
