"Vaccinedato";"Regionsnavn";"Kumulerede antal færdigvacc.";"Antal borgere";"Vaccinations dækning (%)"
2021-01-01;Hovedstaden;0;1867213;0.00
2021-01-04;Hovedstaden;0;1867213;0.00
2021-01-07;Hovedstaden;0;1867213;0.00
2021-01-09;Hovedstaden;2;1867213;0.00
2021-01-12;Hovedstaden;2;1867213;0.00
2021-01-13;Hovedstaden;3;1867213;0.00
2021-01-14;Hovedstaden;4;1867213;0.00
2021-01-15;Hovedstaden;9;1867213;0.00
2021-01-16;Hovedstaden;10;1867213;0.00
2021-01-17;Hovedstaden;51;1867213;0.00
2021-01-18;Hovedstaden;188;1867213;0.01
2021-01-19;Hovedstaden;358;1867213;0.02
2021-01-20;Hovedstaden;491;1867213;0.03
2021-01-21;Hovedstaden;610;1867213;0.03
2021-01-22;Hovedstaden;690;1867213;0.04
2021-01-23;Hovedstaden;4599;1867213;0.25
2021-01-24;Hovedstaden;8356;1867213;0.45
2021-01-25;Hovedstaden;8592;1867213;0.46
2021-01-26;Hovedstaden;8729;1867213;0.47
2021-01-27;Hovedstaden;9355;1867213;0.50
2021-01-28;Hovedstaden;13072;1867213;0.70
2021-01-29;Hovedstaden;20339;1867213;1.09
2021-01-30;Hovedstaden;24708;1867213;1.32
2021-01-31;Hovedstaden;27199;1867213;1.46
2021-02-01;Hovedstaden;29081;1867213;1.56
2021-02-02;Hovedstaden;29194;1867213;1.56
2021-02-03;Hovedstaden;32085;1867213;1.72
2021-02-04;Hovedstaden;38402;1867213;2.06
2021-02-05;Hovedstaden;43180;1867213;2.31
2021-02-06;Hovedstaden;46133;1867213;2.47
2021-02-07;Hovedstaden;46704;1867213;2.50
2021-02-08;Hovedstaden;47834;1867213;2.56
2021-02-09;Hovedstaden;47876;1867213;2.56
2021-02-10;Hovedstaden;48807;1867213;2.61
2021-02-11;Hovedstaden;49049;1867213;2.63
2021-02-12;Hovedstaden;53188;1867213;2.85
2021-02-13;Hovedstaden;53198;1867213;2.85
2021-02-14;Hovedstaden;53210;1867213;2.85
2021-02-15;Hovedstaden;54579;1867213;2.92
2021-02-16;Hovedstaden;54988;1867213;2.94
2021-02-17;Hovedstaden;55021;1867213;2.95
2021-02-18;Hovedstaden;55100;1867213;2.95
2021-02-19;Hovedstaden;55151;1867213;2.95
2021-02-20;Hovedstaden;55254;1867213;2.96
2021-02-21;Hovedstaden;55358;1867213;2.96
2021-02-22;Hovedstaden;55504;1867213;2.97
2021-02-23;Hovedstaden;55663;1867213;2.98
2021-02-24;Hovedstaden;55740;1867213;2.99
2021-02-25;Hovedstaden;55777;1867213;2.99
2021-02-26;Hovedstaden;55843;1867213;2.99
2021-02-27;Hovedstaden;56897;1867213;3.05
2021-02-28;Hovedstaden;57989;1867213;3.11
2021-03-01;Hovedstaden;58213;1867213;3.12
2021-03-02;Hovedstaden;58465;1867213;3.13
2021-03-03;Hovedstaden;58510;1867213;3.13
2021-03-04;Hovedstaden;58707;1867213;3.14
2021-03-05;Hovedstaden;58976;1867213;3.16
2021-03-06;Hovedstaden;59070;1867213;3.16
2021-03-07;Hovedstaden;59388;1867213;3.18
2021-03-08;Hovedstaden;59629;1867213;3.19
2021-03-09;Hovedstaden;61043;1867213;3.27
2021-03-10;Hovedstaden;62708;1867213;3.36
2021-03-11;Hovedstaden;66974;1867213;3.59
2021-03-12;Hovedstaden;71704;1867213;3.84
2021-03-13;Hovedstaden;71792;1867213;3.84
2021-03-14;Hovedstaden;74985;1867213;4.02
2021-03-15;Hovedstaden;77697;1867213;4.16
2021-03-16;Hovedstaden;81156;1867213;4.35
2021-03-17;Hovedstaden;85478;1867213;4.58
2021-03-18;Hovedstaden;89809;1867213;4.81
2021-03-19;Hovedstaden;90957;1867213;4.87
2021-03-20;Hovedstaden;91047;1867213;4.88
2021-03-21;Hovedstaden;93104;1867213;4.99
2021-03-22;Hovedstaden;93188;1867213;4.99
2021-03-23;Hovedstaden;93304;1867213;5.00
2021-03-24;Hovedstaden;101760;1867213;5.45
2021-03-25;Hovedstaden;106215;1867213;5.69
2021-03-26;Hovedstaden;108856;1867213;5.83
2021-03-27;Hovedstaden;108899;1867213;5.83
2021-03-28;Hovedstaden;108938;1867213;5.83
2021-03-29;Hovedstaden;109491;1867213;5.86
2021-03-30;Hovedstaden;109767;1867213;5.88
2021-03-31;Hovedstaden;113505;1867213;6.08
2021-04-01;Hovedstaden;118143;1867213;6.33
2021-04-02;Hovedstaden;121819;1867213;6.52
2021-04-03;Hovedstaden;121913;1867213;6.53
2021-04-04;Hovedstaden;121961;1867213;6.53
2021-04-05;Hovedstaden;122005;1867213;6.53
2021-04-06;Hovedstaden;122206;1867213;6.54
2021-04-07;Hovedstaden;122787;1867213;6.58
2021-04-08;Hovedstaden;124445;1867213;6.66
2021-04-09;Hovedstaden;127811;1867213;6.85
2021-04-10;Hovedstaden;129096;1867213;6.91
2021-04-11;Hovedstaden;129235;1867213;6.92
2021-04-12;Hovedstaden;136058;1867213;7.29
2021-04-13;Hovedstaden;137133;1867213;7.34
2021-04-14;Hovedstaden;141649;1867213;7.59
2021-04-15;Hovedstaden;143203;1867213;7.67
2021-04-16;Hovedstaden;146200;1867213;7.83
2021-04-17;Hovedstaden;146408;1867213;7.84
2021-04-18;Hovedstaden;146589;1867213;7.85
2021-04-19;Hovedstaden;148655;1867213;7.96
2021-04-20;Hovedstaden;153630;1867213;8.23
2021-04-21;Hovedstaden;157368;1867213;8.43
2021-04-22;Hovedstaden;157516;1867213;8.44
2021-04-23;Hovedstaden;164445;1867213;8.81
2021-04-24;Hovedstaden;166426;1867213;8.91
2021-04-25;Hovedstaden;166750;1867213;8.93
2021-04-26;Hovedstaden;169905;1867213;9.10
2021-04-27;Hovedstaden;179552;1867213;9.62
2021-04-28;Hovedstaden;187699;1867213;10.1
2021-04-29;Hovedstaden;194868;1867213;10.4
2021-04-30;Hovedstaden;195095;1867213;10.4
2021-05-01;Hovedstaden;195576;1867213;10.5
2021-05-02;Hovedstaden;204119;1867213;10.9
2021-05-03;Hovedstaden;212084;1867213;11.4
2021-05-04;Hovedstaden;220695;1867213;11.8
2021-05-05;Hovedstaden;232651;1867213;12.5
2021-05-06;Hovedstaden;242658;1867213;13.0
2021-05-07;Hovedstaden;250194;1867213;13.4
2021-05-08;Hovedstaden;269820;1867213;14.5
2021-05-09;Hovedstaden;277981;1867213;14.9
2021-05-10;Hovedstaden;283548;1867213;15.2
2021-05-11;Hovedstaden;289712;1867213;15.5
2021-05-12;Hovedstaden;295307;1867213;15.8
2021-05-13;Hovedstaden;305910;1867213;16.4
2021-05-14;Hovedstaden;313696;1867213;16.8
2021-05-15;Hovedstaden;320557;1867213;17.2
2021-05-16;Hovedstaden;324016;1867213;17.4
2021-05-17;Hovedstaden;331148;1867213;17.7
2021-05-18;Hovedstaden;340058;1867213;18.2
2021-05-19;Hovedstaden;342824;1867213;18.4
2021-05-20;Hovedstaden;348719;1867213;18.7
2021-05-21;Hovedstaden;355589;1867213;19.0
2021-05-22;Hovedstaden;358595;1867213;19.2
2021-05-23;Hovedstaden;359853;1867213;19.3
2021-05-24;Hovedstaden;360857;1867213;19.3
2021-05-25;Hovedstaden;363139;1867213;19.4
2021-05-26;Hovedstaden;365950;1867213;19.6
2021-05-27;Hovedstaden;368997;1867213;19.8
2021-05-28;Hovedstaden;370658;1867213;19.9
2021-05-29;Hovedstaden;372448;1867213;19.9
2021-05-30;Hovedstaden;376619;1867213;20.2
2021-05-31;Hovedstaden;385327;1867213;20.6
2021-06-01;Hovedstaden;392193;1867213;21.0
2021-06-02;Hovedstaden;399034;1867213;21.4
2021-06-03;Hovedstaden;410279;1867213;22.0
2021-06-04;Hovedstaden;412983;1867213;22.1
2021-06-05;Hovedstaden;414154;1867213;22.2
2021-06-06;Hovedstaden;422873;1867213;22.6
2021-06-07;Hovedstaden;434699;1867213;23.3
2021-06-08;Hovedstaden;442953;1867213;23.7
2021-06-09;Hovedstaden;452192;1867213;24.2
2021-06-10;Hovedstaden;454635;1867213;24.3
2021-06-11;Hovedstaden;457107;1867213;24.5
2021-06-12;Hovedstaden;458567;1867213;24.6
2021-06-13;Hovedstaden;460449;1867213;24.7
2021-06-14;Hovedstaden;462538;1867213;24.8
2021-06-15;Hovedstaden;464140;1867213;24.9
2021-06-16;Hovedstaden;471548;1867213;25.3
2021-06-17;Hovedstaden;478870;1867213;25.6
2021-06-18;Hovedstaden;488668;1867213;26.2
2021-06-19;Hovedstaden;495518;1867213;26.5
2021-06-20;Hovedstaden;500959;1867213;26.8
2021-06-21;Hovedstaden;508637;1867213;27.2
2021-06-22;Hovedstaden;516692;1867213;27.7
2021-06-23;Hovedstaden;528348;1867213;28.3
2021-06-24;Hovedstaden;540759;1867213;29.0
2021-06-25;Hovedstaden;548915;1867213;29.4
2021-06-26;Hovedstaden;559486;1867213;30.0
2021-06-27;Hovedstaden;568408;1867213;30.4
2021-06-28;Hovedstaden;584726;1867213;31.3
2021-06-29;Hovedstaden;601651;1867213;32.2
2021-06-30;Hovedstaden;613930;1867213;32.9
2021-07-01;Hovedstaden;622347;1867213;33.3
2021-07-02;Hovedstaden;634983;1867213;34.0
2021-07-03;Hovedstaden;650602;1867213;34.8
2021-07-04;Hovedstaden;663973;1867213;35.6
2021-07-05;Hovedstaden;677147;1867213;36.3
2021-07-06;Hovedstaden;690148;1867213;37.0
2021-07-07;Hovedstaden;697469;1867213;37.4
2021-07-08;Hovedstaden;704464;1867213;37.7
2021-07-09;Hovedstaden;713626;1867213;38.2
2021-07-10;Hovedstaden;722073;1867213;38.7
2021-07-11;Hovedstaden;727414;1867213;39.0
2021-07-12;Hovedstaden;742937;1867213;39.8
2021-07-13;Hovedstaden;758818;1867213;40.6
2021-07-14;Hovedstaden;770260;1867213;41.3
2021-07-15;Hovedstaden;784315;1867213;42.0
2021-07-16;Hovedstaden;797438;1867213;42.7
2021-07-17;Hovedstaden;809869;1867213;43.4
2021-07-18;Hovedstaden;826863;1867213;44.3
2021-07-19;Hovedstaden;845813;1867213;45.3
2021-07-20;Hovedstaden;865057;1867213;46.3
2021-07-21;Hovedstaden;883377;1867213;47.3
2021-07-22;Hovedstaden;899373;1867213;48.2
2021-07-23;Hovedstaden;914516;1867213;49.0
2021-07-24;Hovedstaden;925757;1867213;49.6
2021-07-25;Hovedstaden;938545;1867213;50.3
2021-07-26;Hovedstaden;949159;1867213;50.8
2021-07-27;Hovedstaden;962390;1867213;51.5
2021-07-28;Hovedstaden;975044;1867213;52.2
2021-07-29;Hovedstaden;985121;1867213;52.8
2021-07-30;Hovedstaden;994600;1867213;53.3
2021-07-31;Hovedstaden;1002283;1867213;53.7
2021-08-01;Hovedstaden;1008878;1867213;54.0
2021-08-02;Hovedstaden;1018130;1867213;54.5
2021-08-03;Hovedstaden;1031163;1867213;55.2
2021-08-04;Hovedstaden;1044107;1867213;55.9
2021-08-05;Hovedstaden;1054346;1867213;56.5
2021-08-06;Hovedstaden;1066111;1867213;57.1
2021-08-07;Hovedstaden;1079129;1867213;57.8
2021-08-08;Hovedstaden;1096514;1867213;58.7
2021-08-09;Hovedstaden;1113046;1867213;59.6
2021-08-10;Hovedstaden;1127567;1867213;60.4
2021-08-11;Hovedstaden;1143512;1867213;61.2
2021-08-12;Hovedstaden;1157678;1867213;62.0
2021-08-13;Hovedstaden;1171013;1867213;62.7
2021-08-14;Hovedstaden;1185067;1867213;63.5
2021-08-15;Hovedstaden;1198738;1867213;64.2
2021-08-16;Hovedstaden;1209912;1867213;64.8
2021-08-17;Hovedstaden;1218638;1867213;65.3
2021-08-18;Hovedstaden;1227813;1867213;65.8
2021-08-19;Hovedstaden;1232923;1867213;66.0
2021-08-20;Hovedstaden;1237135;1867213;66.3
2021-08-21;Hovedstaden;1242896;1867213;66.6
2021-08-22;Hovedstaden;1247423;1867213;66.8
2021-08-23;Hovedstaden;1254633;1867213;67.2
2021-08-24;Hovedstaden;1262352;1867213;67.6
2021-08-25;Hovedstaden;1266080;1867213;67.8
2021-08-26;Hovedstaden;1270460;1867213;68.0
2021-08-27;Hovedstaden;1275113;1867213;68.3
