"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;471533;460736;27299;73.2;71.5;4.2;644453
Frederiksberg;81085;79714;5757;78.1;76.8;5.5;103776
Ballerup;36224;35611;2809;73.7;72.4;5.7;49174
Brøndby;23964;23421;2003;67.5;65.9;5.6;35520
Dragør;11268;11115;901;77.2;76.1;6.2;14598
Gentofte;57223;56370;4698;77.0;75.9;6.3;74296
Gladsaxe;51111;50233;3837;73.9;72.6;5.5;69198
Glostrup;17044;16746;1566;72.6;71.3;6.7;23491
Herlev;21002;20597;1795;72.7;71.3;6.2;28880
Albertslund;18874;18365;1441;68.8;66.9;5.3;27438
Hvidovre;38315;37557;2962;71.9;70.5;5.6;53276
Høje Tåstrup;36233;35492;2954;68.7;67.3;5.6;52765
Lyngby-Taarbæk;44607;43964;3493;77.1;76.0;6.0;57847
Rødovre;29520;29005;2360;71.5;70.3;5.7;41265
Ishøj;14875;14451;1051;64.2;62.4;4.5;23154
Tårnby;31588;31071;2362;74.0;72.8;5.5;42673
Vallensbæk;11552;11316;1021;69.9;68.5;6.2;16522
Furesø;31296;30904;2797;75.7;74.7;6.8;41369
Allerød;20289;20072;1602;78.4;77.6;6.2;25866
Fredensborg;31056;30611;2465;75.5;74.4;6.0;41140
Helsingør;48337;47587;3570;76.7;75.5;5.7;63032
Hillerød;40655;40104;3292;76.7;75.7;6.2;52974
Hørsholm;19768;19546;1892;79.9;79.0;7.6;24748
Rudersdal;44769;44187;3849;78.1;77.1;6.7;57326
Egedal;34160;33717;2265;77.1;76.1;5.1;44316
Frederikssund;36184;35688;2880;78.9;77.9;6.3;45840
Greve;37634;37077;2700;74.2;73.1;5.3;50742
Køge;46878;46237;3735;76.0;75.0;6.1;61684
Halsnæs;24483;24161;2004;78.0;77.0;6.4;31395
Roskilde;69505;68602;5841;77.8;76.8;6.5;89306
Solrød;17941;17700;1342;75.8;74.7;5.7;23683
Gribskov;32166;31722;2537;78.1;77.0;6.2;41190
