"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;7;2;90370;0.0;0.0
0-2;M;2;0;95269;0.0;0.0
3-5;K;4;1;91099;0.0;0.0
3-5;M;4;2;96282;0.0;0.0
6-11;K;15;5;179635;0.0;0.0
6-11;M;17;7;189010;0.0;0.0
12-15;K;91802;86834;132596;69.2;65.5
12-15;M;97170;91884;139926;69.4;65.7
16-19;K;116339;114268;134306;86.6;85.1
16-19;M;119057;115998;140302;84.9;82.7
20-39;K;579876;561587;731435;79.3;76.8
20-39;M;588877;570113;760940;77.4;74.9
40-64;K;872628;865781;946648;92.2;91.5
40-64;M;861931;855139;948141;90.9;90.2
65-79;K;454447;453479;469935;96.7;96.5
65-79;M;418941;418115;433054;96.7;96.6
80+;K;167311;166770;173444;96.5;96.2
80+;M;114829;114564;118113;97.2;97.0
