"Kommunenavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
København;471533;460736;644453
Frederiksberg;81085;79714;103776
Ballerup;36224;35611;49174
Brøndby;23964;23421;35520
Dragør;11268;11115;14598
Gentofte;57223;56370;74296
Gladsaxe;51111;50233;69198
Glostrup;17044;16746;23491
Herlev;21002;20597;28880
Albertslund;18874;18365;27438
Hvidovre;38315;37557;53276
Høje-Taastrup;36233;35492;52765
Lyngby-Taarbæk;44607;43964;57847
Rødovre;29520;29005;41265
Ishøj;14875;14451;23154
Tårnby;31588;31071;42673
Vallensbæk;11552;11316;16522
Furesø;31296;30904;41369
Allerød;20289;20072;25866
Fredensborg;31056;30611;41140
Helsingør;48337;47587;63032
Hillerød;40655;40104;52974
Hørsholm;19768;19546;24748
Rudersdal;44769;44187;57326
Egedal;34160;33717;44316
Frederikssund;36184;35688;45840
Greve;37634;37077;50742
Køge;46878;46237;61684
Frederiksværk-Hundested;24483;24161;31395
Roskilde;69505;68602;89306
Solrød;17941;17700;23683
Gribskov;32166;31722;41190
Odsherred;26161;25838;32900
Holbæk;56326;55524;72714
Faxe;28187;27834;37021
Kalundborg;37223;36730;48430
Ringsted;25975;25630;35147
Slagelse;60252;59360;79648
Stevns;18130;17932;23402
Sorø;23257;22977;29980
Lejre;21994;21747;28632
Lolland;30828;30402;40185
Næstved;64172;63298;83686
Guldborgsund;46707;46078;60314
Vordingborg;35227;34741;45390
Bornholm;31953;31531;39691
Middelfart;31300;30951;39531
Assens;32462;32058;40893
Faaborg-Midtfyn;40812;40282;51823
Kerteminde;19098;18869;23997
Nyborg;25491;25205;32052
Odense;159930;157535;206139
Svendborg;46761;46172;59167
Nordfyns;23133;22859;29697
Langeland;9994;9904;12322
Ærø;5006;4958;6013
Haderslev;42149;41555;55341
Billund;20434;20153;26640
Sønderborg;57335;56572;73652
Tønder;27935;27547;36875
Esbjerg;88473;87216;115447
Fanø;2804;2779;3430
Varde;37993;37548;49632
Vejen;31912;31491;42695
Aabenraa;43786;43220;58612
Fredericia;39580;39066;51541
Horsens;70085;69042;94111
Kolding;70354;69224;93427
Vejle;89503;88014;118543
Herning;68661;67643;89215
Holstebro;45336;44732;58529
Lemvig;15492;15345;19371
Struer;16564;16350;20775
Syddjurs;34425;34035;43657
Norddjurs;29265;28934;37063
Favrskov;37665;37206;48766
Odder;18524;18354;23263
Randers;76318;75187;98840
Silkeborg;74165;73201;97069
Samsø;3060;3040;3722
Skanderborg;49029;48515;64134
Århus;274896;270240;355408
Ikast-Brande;31476;31036;41871
Ringkøbing-Skjern;43307;42782;56216
Hedensted;36403;35966;47079
Morsø;15908;15693;20084
Skive;35980;35510;45109
Thisted;33745;33282;43125
Viborg;75374;74417;96867
Brønderslev-Dronninglund;28006;27566;36199
Frederikshavn;46855;46262;58864
Vesthimmerlands;27942;27593;36337
Læsø;1462;1449;1778
Rebild;23290;22997;30628
Mariagerfjord;32774;32337;41591
Jammerbugt;29783;29353;38171
Ålborg;173098;170142;221232
Hjørring;50593;49861;63885
