Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.229.319;  50.779;   2.893;     511
Sjælland; 475.503;  12.754;     962;     152
Syddanmark; 686.411;  13.199;     649;      66
Midtjylland; 786.097;  19.110;     916;     133
Nordjylland; 408.280;   6.641;     357;      65
I alt i Danmark;3.585.610; 102.483;   5.777;     927
