Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   2.825 (49);   2.970 (51);   5.795
10-19;   8.467 (48);   9.162 (52);  17.629
20-29;  10.145 (50);  10.122 (50);  20.267
30-39;   7.036 (50);   6.953 (50);  13.989
40-49;   8.176 (52);   7.451 (48);  15.627
50-59;   7.601 (51);   7.338 (49);  14.939
60-69;   3.717 (48);   4.033 (52);   7.750
70-79;   2.305 (49);   2.400 (51);   4.705
80-89;   1.247 (56);     977 (44);   2.224
90+;     449 (70);     190 (30);     639
I alt;  51.968 (50);  51.596 (50); 103.564
