"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,161289,91807,590218
Midtjylland,342833,196822,1334224
Syddanmark,330200,178705,1224476
Hovedstaden,464723,287328,1856681
Sjælland,232291,148268,840387
