"Kommunenavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
København,112063,64245,17.5,10.1,638719
Frederiksberg,25583,16081,24.8,15.6,103187
Ballerup,13649,8745,27.8,17.8,49062
Brøndby,9849,6416,27.8,18.1,35399
Dragør,4680,3056,32.1,20.9,14594
Gentofte,21397,13495,28.8,18.2,74260
Gladsaxe,17470,10505,25.3,15.2,68941
Glostrup,6457,4286,27.5,18.2,23500
Herlev,8047,4909,27.9,17.0,28802
Albertslund,7150,4829,26.3,17.8,27201
Hvidovre,14056,9132,26.4,17.1,53274
Høje Tåstrup,13390,8979,25.6,17.2,52269
Lyngby-Taarbæk,15516,9683,27.2,17.0,57064
Rødovre,10836,6481,26.3,15.7,41188
Ishøj,5586,3661,24.2,15.9,23079
Tårnby,11640,7219,27.3,16.9,42706
Vallensbæk,4536,3209,27.4,19.4,16560
Furesø,12164,7840,29.6,19.1,41075
Allerød,7541,4716,29.1,18.2,25920
Fredensborg,12917,8122,31.5,19.8,41032
Helsingør,20806,13154,33.0,20.8,63105
Hillerød,15107,9310,29.1,18.0,51836
Hørsholm,8756,5918,35.3,23.8,24839
Rudersdal,17152,11164,30.1,19.6,57059
Egedal,11872,7459,27.0,17.0,43949
Frederikssund,15165,9555,33.2,20.9,45712
Greve,13165,8690,26.0,17.2,50619
Køge,15291,9889,24.8,16.1,61553
Halsnæs,11441,6755,36.3,21.4,31492
Roskilde,23054,14637,26.0,16.5,88780
Solrød,5745,3762,24.5,16.0,23493
Gribskov,14926,8689,36.3,21.1,41097
Odsherred,11357,7072,34.5,21.5,32920
Holbæk,19912,12335,27.6,17.1,72202
Faxe,9466,6141,25.7,16.7,36855
Kalundborg,13782,8848,28.5,18.3,48396
Ringsted,7635,5045,21.8,14.4,35033
Slagelse,22628,14236,28.5,17.9,79426
Stevns,6493,4228,27.9,18.2,23263
Sorø,8338,5374,27.9,18.0,29931
Lejre,8002,4993,28.1,17.5,28473
Lolland,12329,8040,30.6,19.9,40346
Næstved,22374,14114,26.8,16.9,83406
Guldborgsund,19090,11998,31.6,19.9,60405
Vordingborg,13630,8866,30.1,19.6,45286
Bornholm,14971,9715,37.7,24.4,39760
Middelfart,11311,6425,28.8,16.3,39341
Assens,12035,6057,29.4,14.8,40873
Faaborg-Midtfyn,15382,7869,29.8,15.2,51698
Kerteminde,7273,3819,30.5,16.0,23871
Nyborg,9217,5023,28.8,15.7,32023
Odense,51649,27179,25.2,13.3,204890
Svendborg,18427,9426,31.3,16.0,58816
Nordfyn,8593,4391,29.1,14.9,29537
Langeland,4588,2235,37.2,18.1,12342
Ærø,2288,1131,38.1,18.8,6009
Haderslev,14056,6950,25.4,12.6,55366
Billund,6618,3899,24.9,14.7,26526
Sønderborg,21234,10052,28.8,13.6,73774
Tønder,10031,4788,27.1,12.9,36993
Esbjerg,31224,20256,27.0,17.5,115598
Fanø,1343,792,39.0,23.0,3442
Varde,13951,8770,28.1,17.6,49719
Vejen,10575,6360,24.7,14.9,42808
Aabenraa,16363,6752,27.9,11.5,58581
Fredericia,13295,7930,25.9,15.4,51431
Horsens,22100,12887,23.8,13.9,92782
Kolding,21850,12325,23.5,13.2,93084
Vejle,28897,16276,24.5,13.8,117754
Herning,23962,13828,26.8,15.5,89353
Holstebro,16631,9237,28.3,15.7,58683
Lemvig,6412,3589,32.9,18.4,19514
Struer,6476,3810,31.1,18.3,20830
Syddjurs,13115,7251,30.2,16.7,43429
Norddjurs,11645,6524,31.5,17.6,36987
Favrskov,12343,6812,25.4,14.0,48565
Odder,6659,4024,28.9,17.5,23057
Randers,25877,14637,26.3,14.9,98413
Silkeborg,24697,14598,25.7,15.2,96100
Samsø,1477,687,39.8,18.5,3708
Skanderborg,15422,8952,24.2,14.1,63626
Århus,75318,43089,21.4,12.2,352312
Ikast-Brande,10838,6632,26.0,15.9,41625
Ringkøbing-Skjern,16360,8947,29.1,15.9,56224
Hedensted,12483,6973,26.6,14.8,46957
Morsø,6207,3654,30.9,18.2,20082
Skive,13938,8607,30.7,19.0,45342
Thisted,12623,7271,29.3,16.9,43143
Viborg,27080,15738,28.0,16.3,96717
Brønderslev,9488,5347,26.3,14.8,36082
Frederikshavn,18433,10964,31.3,18.6,58947
Vesthimmerland,10879,6804,29.9,18.7,36357
Læsø,1091,538,61.4,30.3,1777
Rebild,7608,4267,24.9,14.0,30505
Mariagerfjord,11750,7086,28.3,17.0,41572
Jammerbugt,11326,5409,29.7,14.2,38171
Aalborg,52757,30529,24.0,13.9,219497
Hjørring,19127,9938,29.8,15.5,64085
