"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,59091,21956,590418
Midtjylland,120510,50809,1332855
Syddanmark,119601,42913,1223832
Hovedstaden,169729,61512,1855739
Sjælland,80131,32908,839140
