"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16283,0
AstraZeneca Covid-19 vaccine,Midtjylland,29104,0
AstraZeneca Covid-19 vaccine,Syddanmark,27822,0
AstraZeneca Covid-19 vaccine,Hovedstaden,40614,0
AstraZeneca Covid-19 vaccine,Sjælland,22267,0
Moderna Covid-19 Vaccine,Nordjylland,4138,2547
Moderna Covid-19 Vaccine,Midtjylland,4137,227
Moderna Covid-19 Vaccine,Syddanmark,6015,2686
Moderna Covid-19 Vaccine,Hovedstaden,4657,21
Moderna Covid-19 Vaccine,Sjælland,2223,710
Pfizer BioNTech Covid-19 vacc,Nordjylland,38670,19409
Pfizer BioNTech Covid-19 vacc,Midtjylland,87269,50582
Pfizer BioNTech Covid-19 vacc,Syddanmark,85764,40227
Pfizer BioNTech Covid-19 vacc,Hovedstaden,124458,61491
Pfizer BioNTech Covid-19 vacc,Sjælland,55641,32198
