"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,59091,21956,10.0,3.7,590418
Midtjylland,120510,50809,9.0,3.8,1332855
Syddanmark,119601,42913,9.8,3.5,1223832
Hovedstaden,169729,61512,9.1,3.3,1855739
Sjælland,80131,32908,9.5,3.9,839140
