År;Uge;Bekæftede tilfælde beboere;Dødsfald blandt bekæftede beboere;Plejehjem med bekæftede tilfælde;Testede beboere;Plejehjem med testede beboere
2020;11;    7;  0;  6;    116;107
2020;12;   24;  3; 16;    253;189
2020;13;   66; 15; 29;    431;250
2020;14;  144; 34; 43;  1.129;360
2020;15;   84; 37; 34;    702;336
2020;16;   76; 30; 34;    913;341
2020;17;   80; 26; 34;  2.288;456
2020;18;   37; 25; 22;  2.467;484
2020;19;   20; 19; 15;  3.093;491
2020;20;   11;  9;  9;  2.526;476
2020;21;    7;  3;  4;  1.604;482
2020;22;   10;  4;  3;  1.520;429
2020;23;    3;  4;  2;  1.254;452
2020;24;   15;  1;  2;  1.056;439
2020;25;    7;  1;  5;  1.863;487
2020;26;    2;  2;  2;  1.902;503
2020;27;    4;  1;  3;  1.726;505
2020;28;    1;  1;  1;  1.544;477
2020;29;    5;  0;  2;  1.189;498
2020;30;    2;  1;  2;  1.234;477
2020;31;    0;  0;  0;  1.573;499
2020;32;    1;  2;  1;  1.620;543
2020;33;    0;  1;  0;  1.475;555
2020;34;    1;  0;  1;  1.333;540
2020;35;    0;  0;  0;  1.297;495
2020;36;    3;  0;  3;  1.323;532
2020;37;   15;  0;  8;  2.152;563
2020;38;   19;  5;  8;  2.942;568
2020;39;   21;  3; 10;  3.150;565
2020;40;   12;  5;  6;  2.957;570
2020;41;   13;  3; 11;  2.599;548
2020;42;   14;  7;  8;  2.661;522
2020;43;   28;  7; 11;  3.593;561
2020;44;   29;  2; 17;  4.615;568
2020;45;   32;  8; 19;  5.416;574
2020;46;   51;  8; 20;  5.645;568
2020;47;   84; 10; 29;  6.859;600
2020;48;   96; 11; 25;  6.346;588
2020;49;  118; 21; 36;  7.383;640
2020;50;  216; 22; 59;  7.805;609
2020;51;  316; 48;104; 10.104;655
2020;52;  405; 62;117; 10.198;618
2020;53;  467; 87;124; 11.164;616
2021;1;  465; 81;126; 11.886;641
2021;2;  347;110;101; 11.805;623
2021;3;  159; 80; 72; 10.115;660
2021;4;   85; 53; 54;  8.273;607
2021;5;   47; 38; 22;  7.095;594
2021;6;   13; 23;  8;  5.501;574
2021;7;    6;  7;  6;  4.101;554
2021;8;    8;  2;  5;  3.454;537
2021;9;    5;  0;  4;  3.090;566
2021;10;    1;  2;  1;  3.151;568
2021;11;    3;  0;  3;  3.048;567
2021;12;    4;  0;  4;  2.651;564
2021;13;    2;  0;  2;  1.706;496
2021;14;   14;  1;  8;  1.782;509
2021;15;   17;  3;  9;  2.848;544
2021;16;   15;  3;  8;  2.841;522
2021;17;    7;  3;  6;  2.562;533
2021;18;    7;  0;  4;  2.736;536
2021;19;    7;  1;  7;  2.122;463
I alt;;3.758;935;407;223.787;945
