Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.564.502; 126.515;   7.311;   1.331
Sjælland; 654.292;  36.170;   2.532;     404
Syddanmark; 976.948;  37.858;   1.761;     219
Midtjylland;1.066.723;  46.565;   2.174;     353
Nordjylland; 497.855;  18.411;     935;     184
I alt i Danmark;4.760.320; 265.519;  14.713;   2.491
