Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 148.418 (49); 157.091 (51); 305.509
10-19; 225.514 (50); 225.685 (50); 451.199
20-29; 200.079 (52); 181.672 (48); 381.751
30-39; 197.106 (53); 172.584 (47); 369.690
40-49; 190.068 (53); 166.895 (47); 356.963
50-59; 140.491 (52); 131.204 (48); 271.695
60-69;  77.317 (51);  73.711 (49); 151.028
70-79;  39.412 (50);  40.071 (50);  79.483
80-89;  14.700 (54);  12.503 (46);  27.203
90+;   4.683 (69);   2.063 (31);   6.746
I alt;1.237.806 (52);1.163.503 (48);2.401.310
