"dato";"kommunenavn";"sex";"1. stik idag";"2. stik idag";"3. stik i idag";"1. stik igaar";"2. stik igaar";"3. stik igaar";"1. stik difference";"2. stik difference";"3. stik difference"
2022-03-22;København;K;260678;255190;186764;260691;255198;186670;-13;-8;94
2022-03-22;København;M;247285;240841;167677;247291;240844;167585;-6;-3;92
2022-03-22;Frederiksberg;K;46188;45393;35276;46190;45395;35269;-2;-2;7
2022-03-22;Frederiksberg;M;40586;39631;29231;40590;39631;29218;-4;0;13
2022-03-22;Ballerup;K;20245;19836;15340;20247;19837;15336;-2;-1;4
2022-03-22;Ballerup;M;18825;18411;13670;18825;18412;13667;0;-1;3
2022-03-22;Brøndby;K;13418;13061;9619;13415;13058;9617;3;3;2
2022-03-22;Brøndby;M;12458;12098;8662;12458;12099;8660;0;-1;2
2022-03-22;Dragør;K;6313;6173;4827;6313;6173;4827;0;0;0
2022-03-22;Dragør;M;5919;5788;4345;5919;5789;4345;0;-1;0
2022-03-22;Gentofte;K;32761;32165;24795;32766;32170;24790;-5;-5;5
2022-03-22;Gentofte;M;29412;28766;21351;29413;28765;21347;-1;1;4
2022-03-22;Gladsaxe;K;28186;27610;20757;28186;27611;20753;0;-1;4
2022-03-22;Gladsaxe;M;27235;26577;19128;27236;26578;19123;-1;-1;5
2022-03-22;Glostrup;K;9309;9118;6873;9309;9118;6873;0;0;0
2022-03-22;Glostrup;M;8955;8749;6292;8956;8750;6292;-1;-1;0
2022-03-22;Herlev;K;11770;11494;8746;11772;11496;8748;-2;-2;-2
2022-03-22;Herlev;M;10846;10554;7628;10846;10554;7628;0;0;0
2022-03-22;Albertslund;K;10545;10254;7315;10544;10254;7311;1;0;4
2022-03-22;Albertslund;M;10039;9712;6751;10041;9714;6746;-2;-2;5
2022-03-22;Hvidovre;K;21254;20734;15369;21255;20734;15366;-1;0;3
2022-03-22;Hvidovre;M;20207;19671;14043;20208;19672;14037;-1;-1;6
2022-03-22;Høje Tåstrup;K;20069;19611;14345;20074;19614;14348;-5;-3;-3
2022-03-22;Høje Tåstrup;M;19825;19312;13672;19825;19313;13670;0;-1;2
2022-03-22;Lyngby-Taarbæk;K;24838;24373;18943;24841;24374;18940;-3;-1;3
2022-03-22;Lyngby-Taarbæk;M;23719;23129;17083;23720;23127;17080;-1;2;3
2022-03-22;Rødovre;K;16722;16357;12260;16722;16357;12257;0;0;3
2022-03-22;Rødovre;M;15438;15010;10693;15440;15010;10691;-2;0;2
2022-03-22;Ishøj;K;8233;8004;5511;8236;8007;5514;-3;-3;-3
2022-03-22;Ishøj;M;7964;7713;5243;7964;7713;5240;0;0;3
2022-03-22;Tårnby;K;17560;17243;13131;17562;17245;13133;-2;-2;-2
2022-03-22;Tårnby;M;16692;16300;11858;16697;16305;11863;-5;-5;-5
2022-03-22;Vallensbæk;K;6366;6218;4560;6365;6218;4556;1;0;4
2022-03-22;Vallensbæk;M;6160;6005;4279;6161;6006;4277;-1;-1;2
2022-03-22;Furesø;K;17721;17377;13513;17722;17378;13512;-1;-1;1
2022-03-22;Furesø;M;16589;16244;12121;16591;16246;12122;-2;-2;-1
2022-03-22;Allerød;K;11275;11107;8693;11275;11107;8693;0;0;0
2022-03-22;Allerød;M;10714;10511;8043;10714;10511;8042;0;0;1
2022-03-22;Fredensborg;K;17505;17225;13352;17507;17226;13353;-2;-1;-1
2022-03-22;Fredensborg;M;16080;15757;11946;16082;15759;11944;-2;-2;2
2022-03-22;Helsingør;K;26958;26534;21062;26960;26535;21061;-2;-1;1
2022-03-22;Helsingør;M;24717;24241;18588;24723;24246;18590;-6;-5;-2
2022-03-22;Hillerød;K;22690;22360;17360;22693;22363;17363;-3;-3;-3
2022-03-22;Hillerød;M;21377;20942;15779;21378;20943;15780;-1;-1;-1
2022-03-22;Hørsholm;K;11283;11115;8914;11284;11115;8914;-1;0;0
2022-03-22;Hørsholm;M;9812;9622;7478;9812;9622;7477;0;0;1
2022-03-22;Rudersdal;K;24907;24459;19217;24907;24459;19215;0;0;2
2022-03-22;Rudersdal;M;23448;22981;17461;23450;22982;17460;-2;-1;1
2022-03-22;Egedal;K;18807;18528;14122;18807;18528;14120;0;0;2
2022-03-22;Egedal;M;18158;17811;13180;18157;17811;13178;1;0;2
2022-03-22;Frederikssund;K;19709;19431;15413;19710;19430;15413;-1;1;0
2022-03-22;Frederikssund;M;18789;18421;14073;18789;18421;14072;0;0;1
2022-03-22;Greve;K;20883;20504;15623;20883;20502;15618;0;2;5
2022-03-22;Greve;M;19900;19485;14460;19904;19489;14461;-4;-4;-1
2022-03-22;Køge;K;25693;25244;19648;25693;25243;19644;0;1;4
2022-03-22;Køge;M;24754;24237;18091;24752;24237;18086;2;0;5
2022-03-22;Halsnæs;K;13236;12994;10399;13237;12995;10400;-1;-1;-1
2022-03-22;Halsnæs;M;12779;12522;9782;12780;12523;9783;-1;-1;-1
2022-03-22;Roskilde;K;38638;38070;29685;38641;38072;29680;-3;-2;5
2022-03-22;Roskilde;M;36392;35727;26733;36395;35731;26732;-3;-4;1
2022-03-22;Solrød;K;9954;9799;7461;9957;9802;7463;-3;-3;-2
2022-03-22;Solrød;M;9507;9309;6947;9507;9309;6946;0;0;1
2022-03-22;Gribskov;K;17319;17066;13738;17319;17066;13738;0;0;0
2022-03-22;Gribskov;M;16880;16601;13005;16881;16602;13006;-1;-1;-1
2022-03-22;Odsherred;K;13918;13717;11267;13919;13718;11268;-1;-1;-1
2022-03-22;Odsherred;M;13710;13540;10721;13711;13541;10722;-1;-1;-1
2022-03-22;Holbæk;K;30900;30455;23825;30903;30458;23827;-3;-3;-2
2022-03-22;Holbæk;M;29831;29310;21992;29839;29318;21997;-8;-8;-5
2022-03-22;Faxe;K;15195;14957;11807;15197;14958;11806;-2;-1;1
2022-03-22;Faxe;M;15230;14956;11327;15234;14960;11328;-4;-4;-1
2022-03-22;Kalundborg;K;19952;19666;15706;19953;19667;15705;-1;-1;1
2022-03-22;Kalundborg;M;19843;19517;14914;19845;19518;14913;-2;-1;1
2022-03-22;Ringsted;K;14277;14040;10862;14279;14041;10863;-2;-1;-1
2022-03-22;Ringsted;M;13972;13726;10240;13972;13725;10238;0;1;2
