"Kommunenavn";"Antal personer 1. stik";"Antal personer 2. stik";"Antal borgere"
København;507963;496031;646802
Frederiksberg;86774;85024;103848
Ballerup;39070;38247;49363
Brøndby;25876;25159;35803
Dragør;12232;11961;14579
Gentofte;62173;60931;74272
Gladsaxe;55421;54187;69231
Glostrup;18264;17867;23509
Herlev;22616;22048;28775
Albertslund;20584;19966;27532
Hvidovre;41461;40405;53199
Høje-Taastrup;39894;38923;53476
Lyngby-Taarbæk;48557;47502;57946
Rødovre;32160;31367;41495
Ishøj;16197;15717;23263
Tårnby;34252;33543;42771
Vallensbæk;12526;12223;16489
Furesø;34310;33621;41543
Allerød;21989;21618;25863
Fredensborg;33585;32982;41299
Helsingør;51675;50775;62863
Hillerød;44067;43302;53361
Hørsholm;21095;20737;24735
Rudersdal;48355;47440;57213
Egedal;36965;36339;44516
Frederikssund;38498;37852;45855
Greve;40783;39989;50928
Køge;50447;49481;61725
Frederiksværk-Hundested;26015;25516;31397
Roskilde;75030;73797;89579
Solrød;19461;19108;23820
Gribskov;34199;33667;41234
Odsherred;27628;27257;32832
Holbæk;60731;59765;72961
Faxe;30425;29913;37154
Kalundborg;39795;39183;48404
Ringsted;28249;27766;35288
Slagelse;65043;63907;79694
Stevns;19540;19229;23609
Sorø;25135;24783;29980
Lejre;23724;23363;28599
Lolland;32773;32310;40005
Næstved;69303;68236;84005
Guldborgsund;49669;48999;60248
Vordingborg;37446;36842;45340
Bornholm;34001;33483;39609
Middelfart;33922;33432;39696
Assens;34916;34376;40908
Faaborg-Midtfyn;44253;43572;51929
Kerteminde;20518;20157;24026
Nyborg;27505;27104;32064
Odense;172096;168939;206092
Svendborg;50553;49809;59197
Nordfyns;24974;24545;29765
Langeland;10549;10424;12298
Ærø;5265;5179;6024
Haderslev;45579;44870;55257
Billund;22169;21824;26713
Sønderborg;61607;60685;73754
Tønder;29941;29491;36857
Esbjerg;95657;94179;115447
Fanø;2979;2944;3436
Varde;41174;40511;49722
Vejen;34908;34311;42588
Aabenraa;47170;46518;58700
Fredericia;43048;42355;51646
Horsens;77144;75912;95046
Kolding;76984;75743;93748
Vejle;98013;96413;119449
Herning;74665;73472;89383
Holstebro;49429;48621;58584
Lemvig;16518;16321;19368
Struer;17853;17583;20790
Syddjurs;36970;36419;43736
Norddjurs;31259;30795;36933
Favrskov;41414;40737;48994
Odder;19982;19704;23358
Randers;82545;81210;99128
Silkeborg;81036;79645;97783
Samsø;3237;3206;3706
Skanderborg;53931;52946;64498
Århus;295579;289873;355590
Ikast-Brande;34386;33877;41996
Ringkøbing-Skjern;46866;46155;56207
Hedensted;39579;39055;47181
Morsø;17031;16720;20051
Skive;38738;38198;45033
Thisted;36288;35732;43037
Viborg;81987;80689;96849
Brønderslev-Dronninglund;30545;30024;36321
Frederikshavn;50107;49374;58825
Vesthimmerlands;30032;29563;36234
Læsø;1537;1521;1784
Rebild;25461;24992;30692
Mariagerfjord;35222;34573;41649
Jammerbugt;32271;31687;38122
Ålborg;186191;182771;221186
Hjørring;54409;53598;63749
