"Vaccinedato";"geo";"Antal personer 1. stik";"Antal borgere";"1. stik (%)";"Kumuleret antal 1. stik"
2020-12-08;Nationalt;1;5881141;0.00;1
2020-12-11;Nationalt;1;5881141;0.00;2
2020-12-16;Nationalt;1;5881141;0.00;3
2020-12-17;Nationalt;1;5881141;0.00;4
2020-12-18;Nationalt;2;5881141;0.00;6
2020-12-19;Nationalt;1;5881141;0.00;7
2020-12-20;Nationalt;1;5881141;0.00;8
2020-12-21;Nationalt;3;5881141;0.00;11
2020-12-22;Nationalt;5;5881141;0.00;16
2020-12-23;Nationalt;4;5881141;0.00;20
2020-12-24;Nationalt;4;5881141;0.00;24
2020-12-26;Nationalt;5;5881141;0.00;29
2020-12-27;Nationalt;5754;5881141;0.10;5783
2020-12-28;Nationalt;1908;5881141;0.13;7691
2020-12-29;Nationalt;8122;5881141;0.27;15813
2020-12-30;Nationalt;10426;5881141;0.45;26239
2020-12-31;Nationalt;5432;5881141;0.54;31671
2021-01-01;Nationalt;2058;5881141;0.57;33729
2021-01-02;Nationalt;7737;5881141;0.71;41466
2021-01-03;Nationalt;5092;5881141;0.79;46558
2021-01-04;Nationalt;2313;5881141;0.83;48871
2021-01-05;Nationalt;12100;5881141;1.04;60971
2021-01-06;Nationalt;17429;5881141;1.33;78400
2021-01-07;Nationalt;15437;5881141;1.60;93837
2021-01-08;Nationalt;7524;5881141;1.72;101361
2021-01-09;Nationalt;1824;5881141;1.75;103185
2021-01-10;Nationalt;818;5881141;1.77;104003
2021-01-11;Nationalt;665;5881141;1.78;104668
2021-01-12;Nationalt;464;5881141;1.79;105132
2021-01-13;Nationalt;11937;5881141;1.99;117069
2021-01-14;Nationalt;16500;5881141;2.27;133569
2021-01-15;Nationalt;13914;5881141;2.51;147483
2021-01-16;Nationalt;4220;5881141;2.58;151703
2021-01-17;Nationalt;2213;5881141;2.62;153916
2021-01-18;Nationalt;3534;5881141;2.68;157450
2021-01-19;Nationalt;2291;5881141;2.72;159741
2021-01-20;Nationalt;1394;5881141;2.74;161135
2021-01-21;Nationalt;1426;5881141;2.76;162561
2021-01-22;Nationalt;630;5881141;2.77;163191
2021-01-23;Nationalt;668;5881141;2.79;163859
2021-01-24;Nationalt;544;5881141;2.80;164403
2021-01-25;Nationalt;271;5881141;2.80;164674
2021-01-26;Nationalt;211;5881141;2.80;164885
2021-01-27;Nationalt;205;5881141;2.81;165090
2021-01-28;Nationalt;237;5881141;2.81;165327
2021-01-29;Nationalt;1022;5881141;2.83;166349
2021-01-30;Nationalt;1102;5881141;2.85;167451
2021-01-31;Nationalt;1117;5881141;2.87;168568
2021-02-01;Nationalt;718;5881141;2.88;169286
2021-02-02;Nationalt;1840;5881141;2.91;171126
2021-02-03;Nationalt;1351;5881141;2.93;172477
2021-02-04;Nationalt;1288;5881141;2.95;173765
2021-02-05;Nationalt;1495;5881141;2.98;175260
2021-02-06;Nationalt;935;5881141;3.00;176195
2021-02-07;Nationalt;1716;5881141;3.03;177911
2021-02-08;Nationalt;2318;5881141;3.06;180229
2021-02-09;Nationalt;3322;5881141;3.12;183551
2021-02-10;Nationalt;3163;5881141;3.17;186714
2021-02-11;Nationalt;5569;5881141;3.27;192283
2021-02-12;Nationalt;11723;5881141;3.47;204006
2021-02-13;Nationalt;6260;5881141;3.58;210266
2021-02-14;Nationalt;5954;5881141;3.68;216220
2021-02-15;Nationalt;13086;5881141;3.90;229306
2021-02-16;Nationalt;12562;5881141;4.11;241868
2021-02-17;Nationalt;9943;5881141;4.28;251811
2021-02-18;Nationalt;11122;5881141;4.47;262933
2021-02-19;Nationalt;13415;5881141;4.70;276348
2021-02-20;Nationalt;9974;5881141;4.87;286322
2021-02-21;Nationalt;10327;5881141;5.04;296649
2021-02-22;Nationalt;13042;5881141;5.27;309691
2021-02-23;Nationalt;13941;5881141;5.50;323632
2021-02-24;Nationalt;13262;5881141;5.73;336894
2021-02-25;Nationalt;14300;5881141;5.97;351194
2021-02-26;Nationalt;35182;5881141;6.57;386376
2021-02-27;Nationalt;6420;5881141;6.68;392796
2021-02-28;Nationalt;10533;5881141;6.86;403329
2021-03-01;Nationalt;19097;5881141;7.18;422426
2021-03-02;Nationalt;16342;5881141;7.46;438768
2021-03-03;Nationalt;12808;5881141;7.68;451576
2021-03-04;Nationalt;17178;5881141;7.97;468754
2021-03-05;Nationalt;16209;5881141;8.25;484963
2021-03-06;Nationalt;14285;5881141;8.49;499248
2021-03-07;Nationalt;11637;5881141;8.69;510885
2021-03-08;Nationalt;9343;5881141;8.85;520228
2021-03-09;Nationalt;10665;5881141;9.03;530893
2021-03-10;Nationalt;11799;5881141;9.23;542692
2021-03-11;Nationalt;4377;5881141;9.30;547069
2021-03-12;Nationalt;3207;5881141;9.36;550276
2021-03-13;Nationalt;4421;5881141;9.43;554697
2021-03-14;Nationalt;1191;5881141;9.45;555888
2021-03-15;Nationalt;2737;5881141;9.50;558625
2021-03-16;Nationalt;6614;5881141;9.61;565239
2021-03-17;Nationalt;10471;5881141;9.79;575710
2021-03-18;Nationalt;14291;5881141;10.0;590001
2021-03-19;Nationalt;7655;5881141;10.2;597656
2021-03-20;Nationalt;2939;5881141;10.2;600595
2021-03-21;Nationalt;4887;5881141;10.3;605482
2021-03-22;Nationalt;4039;5881141;10.4;609521
2021-03-23;Nationalt;5962;5881141;10.5;615483
2021-03-24;Nationalt;9637;5881141;10.6;625120
2021-03-25;Nationalt;7585;5881141;10.8;632705
2021-03-26;Nationalt;6050;5881141;10.9;638755
2021-03-27;Nationalt;9813;5881141;11.0;648568
2021-03-28;Nationalt;10607;5881141;11.2;659175
2021-03-29;Nationalt;17658;5881141;11.5;676833
2021-03-30;Nationalt;21259;5881141;11.9;698092
2021-03-31;Nationalt;12893;5881141;12.1;710985
2021-04-01;Nationalt;4188;5881141;12.2;715173
2021-04-02;Nationalt;4868;5881141;12.2;720041
2021-04-03;Nationalt;11945;5881141;12.4;731986
2021-04-04;Nationalt;11537;5881141;12.6;743523
2021-04-05;Nationalt;12198;5881141;12.8;755721
2021-04-06;Nationalt;15862;5881141;13.1;771583
2021-04-07;Nationalt;16466;5881141;13.4;788049
2021-04-08;Nationalt;13653;5881141;13.6;801702
2021-04-09;Nationalt;16333;5881141;13.9;818035
2021-04-10;Nationalt;16630;5881141;14.2;834665
2021-04-11;Nationalt;14807;5881141;14.4;849472
2021-04-12;Nationalt;93279;5881141;16.0;942751
2021-04-13;Nationalt;18427;5881141;16.3;961178
2021-04-14;Nationalt;11413;5881141;16.5;972591
2021-04-15;Nationalt;15230;5881141;16.8;987821
2021-04-16;Nationalt;17301;5881141;17.1;1005122
2021-04-17;Nationalt;18691;5881141;17.4;1023813
2021-04-18;Nationalt;14423;5881141;17.7;1038236
2021-04-19;Nationalt;24705;5881141;18.1;1062941
2021-04-20;Nationalt;21917;5881141;18.4;1084858
2021-04-21;Nationalt;22442;5881141;18.8;1107300
2021-04-22;Nationalt;28148;5881141;19.3;1135448
2021-04-23;Nationalt;22085;5881141;19.7;1157533
2021-04-24;Nationalt;14831;5881141;19.9;1172364
2021-04-25;Nationalt;15141;5881141;20.2;1187505
2021-04-26;Nationalt;31369;5881141;20.7;1218874
2021-04-27;Nationalt;26424;5881141;21.2;1245298
2021-04-28;Nationalt;24035;5881141;21.6;1269333
2021-04-29;Nationalt;25794;5881141;22.0;1295127
2021-04-30;Nationalt;13437;5881141;22.3;1308564
2021-05-01;Nationalt;7322;5881141;22.4;1315886
2021-05-02;Nationalt;16608;5881141;22.7;1332494
2021-05-03;Nationalt;20403;5881141;23.0;1352897
2021-05-04;Nationalt;27569;5881141;23.5;1380466
2021-05-05;Nationalt;26751;5881141;23.9;1407217
2021-05-06;Nationalt;21495;5881141;24.3;1428712
2021-05-07;Nationalt;16456;5881141;24.6;1445168
2021-05-08;Nationalt;9489;5881141;24.7;1454657
2021-05-09;Nationalt;15907;5881141;25.0;1470564
2021-05-10;Nationalt;26522;5881141;25.5;1497086
2021-05-11;Nationalt;29648;5881141;26.0;1526734
2021-05-12;Nationalt;26161;5881141;26.4;1552895
2021-05-13;Nationalt;19698;5881141;26.7;1572593
2021-05-14;Nationalt;20611;5881141;27.1;1593204
2021-05-15;Nationalt;15437;5881141;27.4;1608641
2021-05-16;Nationalt;19946;5881141;27.7;1628587
2021-05-17;Nationalt;31027;5881141;28.2;1659614
2021-05-18;Nationalt;29589;5881141;28.7;1689203
2021-05-19;Nationalt;31745;5881141;29.3;1720948
2021-05-20;Nationalt;32487;5881141;29.8;1753435
2021-05-21;Nationalt;35266;5881141;30.4;1788701
2021-05-22;Nationalt;25963;5881141;30.9;1814664
2021-05-23;Nationalt;22548;5881141;31.2;1837212
2021-05-24;Nationalt;23430;5881141;31.6;1860642
2021-05-25;Nationalt;43420;5881141;32.4;1904062
2021-05-26;Nationalt;47385;5881141;33.2;1951447
2021-05-27;Nationalt;49273;5881141;34.0;2000720
2021-05-28;Nationalt;40994;5881141;34.7;2041714
2021-05-29;Nationalt;29796;5881141;35.2;2071510
2021-05-30;Nationalt;25807;5881141;35.7;2097317
2021-05-31;Nationalt;36129;5881141;36.3;2133446
2021-06-01;Nationalt;39763;5881141;37.0;2173209
2021-06-02;Nationalt;42681;5881141;37.7;2215890
2021-06-03;Nationalt;36214;5881141;38.3;2252104
2021-06-04;Nationalt;41374;5881141;39.0;2293478
2021-06-05;Nationalt;34937;5881141;39.6;2328415
2021-06-06;Nationalt;29931;5881141;40.1;2358346
2021-06-07;Nationalt;53547;5881141;41.0;2411893
2021-06-08;Nationalt;53543;5881141;41.9;2465436
2021-06-09;Nationalt;52787;5881141;42.8;2518223
2021-06-10;Nationalt;58813;5881141;43.8;2577036
2021-06-11;Nationalt;48399;5881141;44.6;2625435
2021-06-12;Nationalt;33448;5881141;45.2;2658883
2021-06-13;Nationalt;33518;5881141;45.8;2692401
2021-06-14;Nationalt;52410;5881141;46.7;2744811
2021-06-15;Nationalt;60285;5881141;47.7;2805096
2021-06-16;Nationalt;51870;5881141;48.6;2856966
2021-06-17;Nationalt;50929;5881141;49.4;2907895
2021-06-18;Nationalt;34905;5881141;50.0;2942800
2021-06-19;Nationalt;23691;5881141;50.4;2966491
2021-06-20;Nationalt;29103;5881141;50.9;2995594
2021-06-21;Nationalt;39409;5881141;51.6;3035003
2021-06-22;Nationalt;46405;5881141;52.4;3081408
2021-06-23;Nationalt;38415;5881141;53.0;3119823
2021-06-24;Nationalt;33824;5881141;53.6;3153647
2021-06-25;Nationalt;29073;5881141;54.1;3182720
2021-06-26;Nationalt;19050;5881141;54.4;3201770
2021-06-27;Nationalt;16122;5881141;54.7;3217892
2021-06-28;Nationalt;30609;5881141;55.2;3248501
2021-06-29;Nationalt;30562;5881141;55.8;3279063
2021-06-30;Nationalt;32804;5881141;56.3;3311867
2021-07-01;Nationalt;31699;5881141;56.9;3343566
2021-07-02;Nationalt;19652;5881141;57.2;3363218
2021-07-03;Nationalt;11630;5881141;57.4;3374848
2021-07-04;Nationalt;12844;5881141;57.6;3387692
2021-07-05;Nationalt;32549;5881141;58.2;3420241
2021-07-06;Nationalt;40265;5881141;58.8;3460506
2021-07-07;Nationalt;46378;5881141;59.6;3506884
2021-07-08;Nationalt;47222;5881141;60.4;3554106
2021-07-09;Nationalt;45034;5881141;61.2;3599140
2021-07-10;Nationalt;30710;5881141;61.7;3629850
2021-07-11;Nationalt;34529;5881141;62.3;3664379
2021-07-12;Nationalt;35516;5881141;62.9;3699895
2021-07-13;Nationalt;40690;5881141;63.6;3740585
2021-07-14;Nationalt;43050;5881141;64.3;3783635
2021-07-15;Nationalt;33094;5881141;64.9;3816729
2021-07-16;Nationalt;30057;5881141;65.4;3846786
2021-07-17;Nationalt;24362;5881141;65.8;3871148
2021-07-18;Nationalt;20368;5881141;66.2;3891516
2021-07-19;Nationalt;32613;5881141;66.7;3924129
2021-07-20;Nationalt;33057;5881141;67.3;3957186
2021-07-21;Nationalt;30106;5881141;67.8;3987292
2021-07-22;Nationalt;24391;5881141;68.2;4011683
2021-07-23;Nationalt;24801;5881141;68.6;4036484
2021-07-24;Nationalt;17558;5881141;68.9;4054042
2021-07-25;Nationalt;13408;5881141;69.2;4067450
2021-07-26;Nationalt;25042;5881141;69.6;4092492
2021-07-27;Nationalt;23153;5881141;70.0;4115645
2021-07-28;Nationalt;19050;5881141;70.3;4134695
2021-07-29;Nationalt;18891;5881141;70.6;4153586
2021-07-30;Nationalt;14232;5881141;70.9;4167818
2021-07-31;Nationalt;6498;5881141;71.0;4174316
2021-08-01;Nationalt;8817;5881141;71.1;4183133
2021-08-02;Nationalt;16379;5881141;71.4;4199512
2021-08-03;Nationalt;13561;5881141;71.6;4213073
2021-08-04;Nationalt;11479;5881141;71.8;4224552
2021-08-05;Nationalt;11499;5881141;72.0;4236051
2021-08-06;Nationalt;10010;5881141;72.2;4246061
2021-08-07;Nationalt;7770;5881141;72.3;4253831
2021-08-08;Nationalt;4123;5881141;72.4;4257954
2021-08-09;Nationalt;10007;5881141;72.6;4267961
2021-08-10;Nationalt;9931;5881141;72.7;4277892
2021-08-11;Nationalt;6291;5881141;72.8;4284183
2021-08-12;Nationalt;6041;5881141;72.9;4290224
2021-08-13;Nationalt;6452;5881141;73.1;4296676
2021-08-14;Nationalt;4330;5881141;73.1;4301006
2021-08-15;Nationalt;4519;5881141;73.2;4305525
2021-08-16;Nationalt;7260;5881141;73.3;4312785
2021-08-17;Nationalt;7186;5881141;73.5;4319971
2021-08-18;Nationalt;5569;5881141;73.5;4325540
2021-08-19;Nationalt;6222;5881141;73.7;4331762
2021-08-20;Nationalt;4983;5881141;73.7;4336745
2021-08-21;Nationalt;4543;5881141;73.8;4341288
2021-08-22;Nationalt;3035;5881141;73.9;4344323
2021-08-23;Nationalt;5690;5881141;74.0;4350013
2021-08-24;Nationalt;5833;5881141;74.1;4355846
2021-08-25;Nationalt;4973;5881141;74.1;4360819
2021-08-26;Nationalt;4500;5881141;74.2;4365319
2021-08-27;Nationalt;4644;5881141;74.3;4369963
2021-08-28;Nationalt;2716;5881141;74.4;4372679
2021-08-29;Nationalt;2408;5881141;74.4;4375087
2021-08-30;Nationalt;4104;5881141;74.5;4379191
2021-08-31;Nationalt;3669;5881141;74.5;4382860
2021-09-01;Nationalt;2984;5881141;74.6;4385844
2021-09-02;Nationalt;2921;5881141;74.6;4388765
2021-09-03;Nationalt;2663;5881141;74.7;4391428
2021-09-04;Nationalt;1840;5881141;74.7;4393268
2021-09-05;Nationalt;2112;5881141;74.7;4395380
2021-09-06;Nationalt;2171;5881141;74.8;4397551
2021-09-07;Nationalt;2244;5881141;74.8;4399795
2021-09-08;Nationalt;2326;5881141;74.9;4402121
2021-09-09;Nationalt;1956;5881141;74.9;4404077
2021-09-10;Nationalt;2138;5881141;74.9;4406215
2021-09-11;Nationalt;1825;5881141;75.0;4408040
2021-09-12;Nationalt;1354;5881141;75.0;4409394
2021-09-13;Nationalt;1910;5881141;75.0;4411304
2021-09-14;Nationalt;1784;5881141;75.0;4413088
2021-09-15;Nationalt;1742;5881141;75.1;4414830
2021-09-16;Nationalt;1658;5881141;75.1;4416488
2021-09-17;Nationalt;1610;5881141;75.1;4418098
2021-09-18;Nationalt;1124;5881141;75.1;4419222
2021-09-19;Nationalt;996;5881141;75.2;4420218
2021-09-20;Nationalt;1726;5881141;75.2;4421944
2021-09-21;Nationalt;1454;5881141;75.2;4423398
2021-09-22;Nationalt;1474;5881141;75.2;4424872
2021-09-23;Nationalt;1201;5881141;75.3;4426073
2021-09-24;Nationalt;1175;5881141;75.3;4427248
2021-09-25;Nationalt;891;5881141;75.3;4428139
2021-09-26;Nationalt;833;5881141;75.3;4428972
2021-09-27;Nationalt;1096;5881141;75.3;4430068
2021-09-28;Nationalt;1204;5881141;75.3;4431272
2021-09-29;Nationalt;1273;5881141;75.4;4432545
2021-09-30;Nationalt;1105;5881141;75.4;4433650
2021-10-01;Nationalt;1037;5881141;75.4;4434687
2021-10-02;Nationalt;702;5881141;75.4;4435389
2021-10-03;Nationalt;441;5881141;75.4;4435830
2021-10-04;Nationalt;786;5881141;75.4;4436616
2021-10-05;Nationalt;1200;5881141;75.5;4437816
2021-10-06;Nationalt;1341;5881141;75.5;4439157
2021-10-07;Nationalt;909;5881141;75.5;4440066
2021-10-08;Nationalt;1073;5881141;75.5;4441139
2021-10-09;Nationalt;734;5881141;75.5;4441873
2021-10-10;Nationalt;441;5881141;75.5;4442314
2021-10-11;Nationalt;755;5881141;75.5;4443069
2021-10-12;Nationalt;1150;5881141;75.6;4444219
2021-10-13;Nationalt;1129;5881141;75.6;4445348
2021-10-14;Nationalt;844;5881141;75.6;4446192
2021-10-15;Nationalt;1057;5881141;75.6;4447249
2021-10-16;Nationalt;661;5881141;75.6;4447910
2021-10-17;Nationalt;357;5881141;75.6;4448267
2021-10-18;Nationalt;794;5881141;75.6;4449061
2021-10-19;Nationalt;1143;5881141;75.7;4450204
2021-10-20;Nationalt;1194;5881141;75.7;4451398
2021-10-21;Nationalt;1139;5881141;75.7;4452537
2021-10-22;Nationalt;1225;5881141;75.7;4453762
2021-10-23;Nationalt;678;5881141;75.7;4454440
2021-10-24;Nationalt;528;5881141;75.8;4454968
2021-10-25;Nationalt;1122;5881141;75.8;4456090
2021-10-26;Nationalt;1557;5881141;75.8;4457647
2021-10-27;Nationalt;1748;5881141;75.8;4459395
2021-10-28;Nationalt;1655;5881141;75.9;4461050
2021-10-29;Nationalt;1594;5881141;75.9;4462644
2021-10-30;Nationalt;1053;5881141;75.9;4463697
2021-10-31;Nationalt;620;5881141;75.9;4464317
2021-11-01;Nationalt;1723;5881141;75.9;4466040
2021-11-02;Nationalt;1926;5881141;76.0;4467966
2021-11-03;Nationalt;2248;5881141;76.0;4470214
2021-11-04;Nationalt;1731;5881141;76.0;4471945
2021-11-05;Nationalt;2200;5881141;76.1;4474145
2021-11-06;Nationalt;1545;5881141;76.1;4475690
2021-11-07;Nationalt;873;5881141;76.1;4476563
2021-11-08;Nationalt;2464;5881141;76.2;4479027
2021-11-09;Nationalt;4916;5881141;76.2;4483943
2021-11-10;Nationalt;5289;5881141;76.3;4489232
2021-11-11;Nationalt;4270;5881141;76.4;4493502
2021-11-12;Nationalt;4312;5881141;76.5;4497814
2021-11-13;Nationalt;3177;5881141;76.5;4500991
2021-11-14;Nationalt;2358;5881141;76.6;4503349
2021-11-15;Nationalt;5218;5881141;76.7;4508567
2021-11-16;Nationalt;4475;5881141;76.7;4513042
2021-11-17;Nationalt;4178;5881141;76.8;4517220
2021-11-18;Nationalt;3468;5881141;76.9;4520688
2021-11-19;Nationalt;3207;5881141;76.9;4523895
2021-11-20;Nationalt;2240;5881141;77.0;4526135
2021-11-21;Nationalt;1328;5881141;77.0;4527463
2021-11-22;Nationalt;3104;5881141;77.0;4530567
2021-11-23;Nationalt;3083;5881141;77.1;4533650
2021-11-24;Nationalt;2819;5881141;77.1;4536469
2021-11-25;Nationalt;2770;5881141;77.2;4539239
2021-11-26;Nationalt;2733;5881141;77.2;4541972
2021-11-27;Nationalt;2222;5881141;77.3;4544194
2021-11-28;Nationalt;3265;5881141;77.3;4547459
2021-11-29;Nationalt;4061;5881141;77.4;4551520
2021-11-30;Nationalt;4892;5881141;77.5;4556412
2021-12-01;Nationalt;5070;5881141;77.6;4561482
2021-12-02;Nationalt;5576;5881141;77.7;4567058
2021-12-03;Nationalt;5143;5881141;77.7;4572201
2021-12-04;Nationalt;6193;5881141;77.8;4578394
2021-12-05;Nationalt;9495;5881141;78.0;4587889
2021-12-06;Nationalt;7608;5881141;78.1;4595497
2021-12-07;Nationalt;10150;5881141;78.3;4605647
2021-12-08;Nationalt;10854;5881141;78.5;4616501
2021-12-09;Nationalt;11091;5881141;78.7;4627592
2021-12-10;Nationalt;10299;5881141;78.9;4637891
2021-12-11;Nationalt;9374;5881141;79.0;4647265
2021-12-12;Nationalt;12450;5881141;79.2;4659715
2021-12-13;Nationalt;8945;5881141;79.4;4668660
2021-12-14;Nationalt;11030;5881141;79.6;4679690
2021-12-15;Nationalt;14313;5881141;79.8;4694003
2021-12-16;Nationalt;14948;5881141;80.1;4708951
2021-12-17;Nationalt;13019;5881141;80.3;4721970
2021-12-18;Nationalt;10736;5881141;80.5;4732706
2021-12-19;Nationalt;9711;5881141;80.6;4742417
2021-12-20;Nationalt;10459;5881141;80.8;4752876
2021-12-21;Nationalt;9349;5881141;81.0;4762225
2021-12-22;Nationalt;6958;5881141;81.1;4769183
2021-12-23;Nationalt;2936;5881141;81.1;4772119
2021-12-24;Nationalt;282;5881141;81.1;4772401
2021-12-25;Nationalt;620;5881141;81.2;4773021
2021-12-26;Nationalt;1529;5881141;81.2;4774550
2021-12-27;Nationalt;6300;5881141;81.3;4780850
2021-12-28;Nationalt;5212;5881141;81.4;4786062
2021-12-29;Nationalt;5363;5881141;81.5;4791425
2021-12-30;Nationalt;2914;5881141;81.5;4794339
2021-12-31;Nationalt;289;5881141;81.5;4794628
2022-01-01;Nationalt;351;5881141;81.5;4794979
2022-01-02;Nationalt;2120;5881141;81.6;4797099
2022-01-03;Nationalt;3866;5881141;81.6;4800965
2022-01-04;Nationalt;3473;5881141;81.7;4804438
2022-01-05;Nationalt;2733;5881141;81.7;4807171
2022-01-06;Nationalt;2577;5881141;81.8;4809748
2022-01-07;Nationalt;3053;5881141;81.8;4812801
2022-01-08;Nationalt;2268;5881141;81.9;4815069
2022-01-09;Nationalt;1473;5881141;81.9;4816542
2022-01-10;Nationalt;1892;5881141;81.9;4818434
2022-01-11;Nationalt;1793;5881141;82.0;4820227
2022-01-12;Nationalt;1727;5881141;82.0;4821954
2022-01-13;Nationalt;1673;5881141;82.0;4823627
2022-01-14;Nationalt;1837;5881141;82.0;4825464
2022-01-15;Nationalt;1209;5881141;82.1;4826673
2022-01-16;Nationalt;731;5881141;82.1;4827404
2022-01-17;Nationalt;1147;5881141;82.1;4828551
2022-01-18;Nationalt;1067;5881141;82.1;4829618
2022-01-19;Nationalt;1090;5881141;82.1;4830708
2022-01-20;Nationalt;926;5881141;82.2;4831634
2022-01-21;Nationalt;1096;5881141;82.2;4832730
2022-01-22;Nationalt;638;5881141;82.2;4833368
2022-01-23;Nationalt;386;5881141;82.2;4833754
2022-01-24;Nationalt;526;5881141;82.2;4834280
2022-01-25;Nationalt;524;5881141;82.2;4834804
2022-01-26;Nationalt;468;5881141;82.2;4835272
2022-01-27;Nationalt;435;5881141;82.2;4835707
2022-01-28;Nationalt;494;5881141;82.2;4836201
2022-01-29;Nationalt;258;5881141;82.2;4836459
2022-01-30;Nationalt;181;5881141;82.2;4836640
2022-01-31;Nationalt;287;5881141;82.2;4836927
2022-02-01;Nationalt;269;5881141;82.2;4837196
2022-02-02;Nationalt;275;5881141;82.3;4837471
2022-02-03;Nationalt;230;5881141;82.3;4837701
2022-02-04;Nationalt;245;5881141;82.3;4837946
2022-02-05;Nationalt;151;5881141;82.3;4838097
2022-02-06;Nationalt;96;5881141;82.3;4838193
2022-02-07;Nationalt;162;5881141;82.3;4838355
2022-02-08;Nationalt;146;5881141;82.3;4838501
2022-02-09;Nationalt;159;5881141;82.3;4838660
2022-02-10;Nationalt;147;5881141;82.3;4838807
2022-02-11;Nationalt;153;5881141;82.3;4838960
2022-02-12;Nationalt;97;5881141;82.3;4839057
2022-02-13;Nationalt;70;5881141;82.3;4839127
2022-02-14;Nationalt;119;5881141;82.3;4839246
2022-02-15;Nationalt;106;5881141;82.3;4839352
2022-02-16;Nationalt;128;5881141;82.3;4839480
2022-02-17;Nationalt;140;5881141;82.3;4839620
2022-02-18;Nationalt;126;5881141;82.3;4839746
2022-02-19;Nationalt;73;5881141;82.3;4839819
2022-02-20;Nationalt;49;5881141;82.3;4839868
2022-02-21;Nationalt;87;5881141;82.3;4839955
2022-02-22;Nationalt;113;5881141;82.3;4840068
2022-02-23;Nationalt;95;5881141;82.3;4840163
2022-02-24;Nationalt;113;5881141;82.3;4840276
2022-02-25;Nationalt;93;5881141;82.3;4840369
2022-02-26;Nationalt;73;5881141;82.3;4840442
2022-02-27;Nationalt;59;5881141;82.3;4840501
2022-02-28;Nationalt;75;5881141;82.3;4840576
2022-03-01;Nationalt;98;5881141;82.3;4840674
2022-03-02;Nationalt;82;5881141;82.3;4840756
2022-03-03;Nationalt;83;5881141;82.3;4840839
2022-03-04;Nationalt;67;5881141;82.3;4840906
2022-03-05;Nationalt;61;5881141;82.3;4840967
2022-03-06;Nationalt;61;5881141;82.3;4841028
2022-03-07;Nationalt;77;5881141;82.3;4841105
2022-03-08;Nationalt;59;5881141;82.3;4841164
2022-03-09;Nationalt;60;5881141;82.3;4841224
2022-03-10;Nationalt;90;5881141;82.3;4841314
2022-03-11;Nationalt;75;5881141;82.3;4841389
2022-03-12;Nationalt;30;5881141;82.3;4841419
2022-03-13;Nationalt;57;5881141;82.3;4841476
2022-03-14;Nationalt;80;5881141;82.3;4841556
2022-03-15;Nationalt;66;5881141;82.3;4841622
2022-03-16;Nationalt;60;5881141;82.3;4841682
2022-03-17;Nationalt;69;5881141;82.3;4841751
2022-03-18;Nationalt;60;5881141;82.3;4841811
2022-03-19;Nationalt;29;5881141;82.3;4841840
2022-03-20;Nationalt;44;5881141;82.3;4841884
2022-03-21;Nationalt;64;5881141;82.3;4841948
