"Regionsnavn";"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik"
Hovedstaden;00-02;K;2;0
Hovedstaden;00-02;M;0;0
Hovedstaden;03-05;K;2819;1915
Hovedstaden;03-05;M;3025;2062
Hovedstaden;06-11;K;26506;20936
Hovedstaden;06-11;M;27789;21977
Hovedstaden;12-15;K;34361;33373
Hovedstaden;12-15;M;36327;35217
Hovedstaden;16-19;K;36123;35533
Hovedstaden;16-19;M;36270;35515
Hovedstaden;20-39;K;233914;229120
Hovedstaden;20-39;M;224520;218124
Hovedstaden;40-64;K;272443;270636
Hovedstaden;40-64;M;267689;265751
Hovedstaden;65-79;K;124303;124011
Hovedstaden;65-79;M;106333;106103
Hovedstaden;80+;K;42675;42545
Hovedstaden;80+;M;25675;25615
Midtjylland;00-02;K;3;1
Midtjylland;00-02;M;1;0
Midtjylland;03-05;K;2383;1720
Midtjylland;03-05;M;2637;1892
Midtjylland;06-11;K;23772;19965
Midtjylland;06-11;M;25080;21055
Midtjylland;12-15;K;29480;28884
Midtjylland;12-15;M;30648;29991
Midtjylland;16-19;K;30486;30214
Midtjylland;16-19;M;30834;30454
Midtjylland;20-39;K;148266;145957
Midtjylland;20-39;M;150882;147645
Midtjylland;40-64;K;200515;199734
Midtjylland;40-64;M;199488;198589
Midtjylland;65-79;K;99868;99756
Midtjylland;65-79;M;93980;93864
Midtjylland;80+;K;32274;32208
Midtjylland;80+;M;22521;22489
Nordjylland;00-02;K;0;0
Nordjylland;00-02;M;0;0
Nordjylland;03-05;K;961;702
Nordjylland;03-05;M;1040;742
Nordjylland;06-11;K;9638;8052
Nordjylland;06-11;M;10025;8303
Nordjylland;12-15;K;12261;11962
Nordjylland;12-15;M;13069;12753
Nordjylland;16-19;K;12657;12546
Nordjylland;16-19;M;13135;12934
Nordjylland;20-39;K;59529;58475
Nordjylland;20-39;M;64192;62526
Nordjylland;40-64;K;89379;89001
Nordjylland;40-64;M;89694;89237
Nordjylland;65-79;K;48897;48818
Nordjylland;65-79;M;46715;46647
Nordjylland;80+;K;16332;16306
Nordjylland;80+;M;11570;11551
Sjælland;00-02;K;0;0
Sjælland;00-02;M;0;0
Sjælland;03-05;K;1219;886
Sjælland;03-05;M;1357;984
Sjælland;06-11;K;12208;10194
Sjælland;06-11;M;13030;10894
Sjælland;12-15;K;17832;17485
Sjælland;12-15;M;18778;18371
Sjælland;16-19;K;17853;17657
Sjælland;16-19;M;19153;18818
Sjælland;20-39;K;67854;66356
Sjælland;20-39;M;69382;67547
Sjælland;40-64;K;137945;137211
Sjælland;40-64;M;135471;134738
Sjælland;65-79;K;74886;74767
Sjælland;65-79;M;69284;69171
Sjælland;80+;K;22962;22899
Sjælland;80+;M;15968;15950
Syddanmark;00-02;K;2;1
Syddanmark;00-02;M;0;0
Syddanmark;03-05;K;1944;1472
Syddanmark;03-05;M;2089;1587
Syddanmark;06-11;K;20151;17135
Syddanmark;06-11;M;21417;18317
Syddanmark;12-15;K;26218;25645
Syddanmark;12-15;M;27403;26786
Syddanmark;16-19;K;27400;27139
Syddanmark;16-19;M;27872;27426
Syddanmark;20-39;K;114890;112740
Syddanmark;20-39;M;119251;116261
Syddanmark;40-64;K;191059;190185
Syddanmark;40-64;M;190057;189017
Syddanmark;65-79;K;100718;100588
Syddanmark;65-79;M;94785;94657
Syddanmark;80+;K;34691;34626
Syddanmark;80+;M;23833;23799
