"Dato";"Aldersgruppe";"Regionsnavn";"Antal 1. stik";"Antal 2. stik"
2020-12-31;16-19;Sjælland;1;0
2020-12-31;20-39;Sjælland;171;0
2020-12-31;40-64;Sjælland;564;0
2020-12-31;65-79;Sjælland;181;0
2020-12-31;80+;Sjælland;225;0
2021-01-01;20-39;Nordjylland;3;0
2021-01-01;40-64;Nordjylland;5;0
2021-01-01;16-19;Midtjylland;1;0
2021-01-01;20-39;Midtjylland;39;0
2021-01-01;40-64;Midtjylland;75;0
2021-01-01;65-79;Midtjylland;10;0
2021-01-01;16-19;Syddanmark;4;0
2021-01-01;20-39;Syddanmark;63;0
2021-01-01;40-64;Syddanmark;288;0
2021-01-01;65-79;Syddanmark;74;0
2021-01-01;80+;Syddanmark;145;0
2021-01-01;16-19;Hovedstaden;1;0
2021-01-01;20-39;Hovedstaden;188;0
2021-01-01;40-64;Hovedstaden;411;0
2021-01-01;65-79;Hovedstaden;193;0
2021-01-01;80+;Hovedstaden;276;0
2021-01-01;16-19;Sjælland;8;0
2021-01-01;20-39;Sjælland;81;0
2021-01-01;40-64;Sjælland;165;0
2021-01-01;65-79;Sjælland;16;0
2021-01-01;80+;Sjælland;12;0
2021-01-02;16-19;Nordjylland;2;0
2021-01-02;20-39;Nordjylland;331;0
2021-01-02;40-64;Nordjylland;852;0
2021-01-02;65-79;Nordjylland;137;0
2021-01-02;80+;Nordjylland;216;0
2021-01-02;16-19;Midtjylland;9;0
2021-01-02;20-39;Midtjylland;300;0
2021-01-02;40-64;Midtjylland;998;0
2021-01-02;65-79;Midtjylland;327;0
2021-01-02;80+;Midtjylland;471;0
2021-01-02;16-19;Syddanmark;10;0
2021-01-02;20-39;Syddanmark;218;0
2021-01-02;40-64;Syddanmark;771;0
2021-01-02;65-79;Syddanmark;262;0
2021-01-02;80+;Syddanmark;427;0
2021-01-02;16-19;Hovedstaden;1;0
2021-01-02;20-39;Hovedstaden;318;0
2021-01-02;40-64;Hovedstaden;871;0
2021-01-02;65-79;Hovedstaden;375;0
2021-01-02;80+;Hovedstaden;442;0
2021-01-02;20-39;Sjælland;106;0
2021-01-02;40-64;Sjælland;275;0
2021-01-02;65-79;Sjælland;17;0
2021-01-02;80+;Sjælland;1;0
2021-01-03;20-39;Nordjylland;6;0
2021-01-03;40-64;Nordjylland;7;0
2021-01-03;65-79;Nordjylland;1;0
2021-01-03;16-19;Midtjylland;6;0
2021-01-03;20-39;Midtjylland;341;0
2021-01-03;40-64;Midtjylland;1025;0
2021-01-03;65-79;Midtjylland;446;0
2021-01-03;80+;Midtjylland;695;0
