"Regionsnavn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Vacc.dækning 1. stik (%)";"Vacc.dækning 2. stik (%)";"Vacc.dækning 3. stik (%)";"Antal borgere"
Nordjylland;499094;490555;377233;84.4;82.9;63.8;591650
Midtjylland;1123118;1104418;843268;83.6;82.2;62.7;1344163
Syddanmark;1023780;1007381;771235;83.3;81.9;62.7;1229316
Hovedstaden;1500774;1468433;1090529;80.2;78.4;58.3;1871841
Sjælland;695182;683928;528872;82.4;81.0;62.6;844171
