"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal borgere";"Andel 1. stik";"Andel 2. stik"
00-02;K;7;2;90798;0.0;0.0
00-02;M;1;0;95669;0.0;0.0
03-05;K;9326;6695;93268;10.0;7.2
03-05;M;10148;7267;98765;10.3;7.4
06-11;K;92275;76282;181867;50.7;41.9
06-11;M;97341;80546;191167;50.9;42.1
12-15;K;120152;117349;146526;82.0;80.1
12-15;M;126225;123118;154207;81.9;79.8
16-19;K;124519;123089;137459;90.6;89.5
16-19;M;127264;125147;142527;89.3;87.8
20-39;K;624453;612648;735596;84.9;83.3
20-39;M;628227;612103;764233;82.2;80.1
40-64;K;891341;886767;952745;93.6;93.1
40-64;M;882399;877332;954911;92.4;91.9
65-79;K;448672;447940;462221;97.1;96.9
65-79;M;411097;410442;423021;97.2;97.0
80+;K;148934;148584;153956;96.7;96.5
80+;M;99567;99404;102205;97.4;97.3
