"Kommunenavn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Vacc.dækning 1. stik (%)";"Vacc.dækning 2. stik (%)";"Vacc.dækning 3. stik (%)";"Antal borgere"
København;507963;496031;354441;78.5;76.7;54.8;646802
Frederiksberg;86774;85024;64507;83.6;81.9;62.1;103848
Ballerup;39070;38247;29010;79.1;77.5;58.8;49363
Brøndby;25876;25159;18281;72.3;70.3;51.1;35803
Dragør;12232;11961;9172;83.9;82.0;62.9;14579
Gentofte;62173;60931;46146;83.7;82.0;62.1;74272
Gladsaxe;55421;54187;39885;80.1;78.3;57.6;69231
Glostrup;18264;17867;13165;77.7;76.0;56.0;23509
Herlev;22616;22048;16374;78.6;76.6;56.9;28775
Albertslund;20584;19966;14066;74.8;72.5;51.1;27532
Hvidovre;41461;40405;29412;77.9;76.0;55.3;53199
Høje Tåstrup;39894;38923;28017;74.6;72.8;52.4;53476
Lyngby-Taarbæk;48557;47502;36026;83.8;82.0;62.2;57946
Rødovre;32160;31367;22953;77.5;75.6;55.3;41495
Ishøj;16197;15717;10754;69.6;67.6;46.2;23263
Tårnby;34252;33543;24989;80.1;78.4;58.4;42771
Vallensbæk;12526;12223;8839;76.0;74.1;53.6;16489
Furesø;34310;33621;25634;82.6;80.9;61.7;41543
Allerød;21989;21618;16736;85.0;83.6;64.7;25863
Fredensborg;33585;32982;25298;81.3;79.9;61.3;41299
Helsingør;51675;50775;39650;82.2;80.8;63.1;62863
Hillerød;44067;43302;33139;82.6;81.1;62.1;53361
Hørsholm;21095;20737;16392;85.3;83.8;66.3;24735
Rudersdal;48355;47440;36678;84.5;82.9;64.1;57213
Egedal;36965;36339;27302;83.0;81.6;61.3;44516
Frederikssund;38498;37852;29486;84.0;82.5;64.3;45855
Greve;40783;39989;30083;80.1;78.5;59.1;50928
Køge;50447;49481;37739;81.7;80.2;61.1;61725
Halsnæs;26015;25516;20181;82.9;81.3;64.3;31397
Roskilde;75030;73797;56418;83.8;82.4;63.0;89579
Solrød;19461;19108;14408;81.7;80.2;60.5;23820
Gribskov;34199;33667;26743;82.9;81.6;64.9;41234
Odsherred;27628;27257;21988;84.1;83.0;67.0;32832
Holbæk;60731;59765;45817;83.2;81.9;62.8;72961
Faxe;30425;29913;23134;81.9;80.5;62.3;37154
Kalundborg;39795;39183;30620;82.2;80.9;63.3;48404
Ringsted;28249;27766;21102;80.1;78.7;59.8;35288
Slagelse;65043;63907;49305;81.6;80.2;61.9;79694
Stevns;19540;19229;15167;82.8;81.4;64.2;23609
Sorø;25135;24783;19160;83.8;82.7;63.9;29980
Lejre;23724;23363;18075;83.0;81.7;63.2;28599
Lolland;32773;32310;25583;81.9;80.8;63.9;40005
Næstved;69303;68236;52561;82.5;81.2;62.6;84005
Guldborgsund;49669;48999;38649;82.4;81.3;64.1;60248
Vordingborg;37446;36842;29063;82.6;81.3;64.1;45340
Bornholm;34001;33483;27253;85.8;84.5;68.8;39609
Middelfart;33922;33432;26265;85.5;84.2;66.2;39696
Assens;34916;34376;26702;85.4;84.0;65.3;40908
Faaborg-Midtfyn;44253;43572;33774;85.2;83.9;65.0;51929
Kerteminde;20518;20157;15851;85.4;83.9;66.0;24026
Nyborg;27505;27104;21208;85.8;84.5;66.1;32064
Odense;172096;168939;127246;83.5;82.0;61.7;206092
Svendborg;50553;49809;38723;85.4;84.1;65.4;59197
Nordfyn;24974;24545;18957;83.9;82.5;63.7;29765
Langeland;10549;10424;8638;85.8;84.8;70.2;12298
Ærø;5265;5179;4392;87.4;86.0;72.9;6024
Haderslev;45579;44870;34279;82.5;81.2;62.0;55257
Billund;22169;21824;16746;83.0;81.7;62.7;26713
Sønderborg;61607;60685;47231;83.5;82.3;64.0;73754
Tønder;29941;29491;22815;81.2;80.0;61.9;36857
Esbjerg;95657;94179;71751;82.9;81.6;62.2;115447
Fanø;2979;2944;2423;86.7;85.7;70.5;3436
Varde;41174;40511;31372;82.8;81.5;63.1;49722
Vejen;34908;34311;25883;82.0;80.6;60.8;42588
Aabenraa;47170;46518;35931;80.4;79.2;61.2;58700
Fredericia;43048;42355;32709;83.4;82.0;63.3;51646
Horsens;77144;75912;56887;81.2;79.9;59.9;95046
Kolding;76984;75743;56365;82.1;80.8;60.1;93748
Vejle;98013;96413;71974;82.1;80.7;60.3;119449
Herning;74665;73472;55446;83.5;82.2;62.0;89383
Holstebro;49429;48621;36948;84.4;83.0;63.1;58584
Lemvig;16518;16321;13013;85.3;84.3;67.2;19368
Struer;17853;17583;13748;85.9;84.6;66.1;20790
Syddjurs;36970;36419;28800;84.5;83.3;65.8;43736
Norddjurs;31259;30795;24543;84.6;83.4;66.5;36933
Favrskov;41414;40737;30713;84.5;83.1;62.7;48994
Odder;19982;19704;15698;85.5;84.4;67.2;23358
Randers;82545;81210;62054;83.3;81.9;62.6;99128
Silkeborg;81036;79645;60771;82.9;81.5;62.1;97783
Samsø;3237;3206;2668;87.3;86.5;72.0;3706
Skanderborg;53931;52946;40273;83.6;82.1;62.4;64498
Århus;295579;289873;220444;83.1;81.5;62.0;355590
Ikast-Brande;34386;33877;25391;81.9;80.7;60.5;41996
Ringkøbing-Skjern;46866;46155;35471;83.4;82.1;63.1;56207
Hedensted;39579;39055;29891;83.9;82.8;63.4;47181
Morsø;17031;16720;12984;84.9;83.4;64.8;20051
Skive;38738;38198;29525;86.0;84.8;65.6;45033
Thisted;36288;35732;27848;84.3;83.0;64.7;43037
Viborg;81987;80689;60984;84.7;83.3;63.0;96849
Brønderslev;30545;30024;22779;84.1;82.7;62.7;36321
Frederikshavn;50107;49374;39173;85.2;83.9;66.6;58825
Vesthimmerland;30032;29563;22818;82.9;81.6;63.0;36234
Læsø;1537;1521;1314;86.2;85.3;73.7;1784
Rebild;25461;24992;18878;83.0;81.4;61.5;30692
Mariagerfjord;35222;34573;26898;84.6;83.0;64.6;41649
Jammerbugt;32271;31687;24632;84.7;83.1;64.6;38122
Aalborg;186191;182771;138499;84.2;82.6;62.6;221186
Hjørring;54409;53598;41410;85.3;84.1;65.0;63749
