"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal borgere";"Andel 1. stik";"Andel 2. stik"
0-9;K;63114;49681;302025;20.9;16.4
0-9;M;67296;53044;318910;21.1;16.6
10-19;K;283165;273736;347893;81.4;78.7
10-19;M;293683;283034;363425;80.8;77.9
20-29;K;322118;315695;383204;84.1;82.4
20-29;M;328018;318724;399365;82.1;79.8
30-39;K;302335;296953;352392;85.8;84.3
30-39;M;300209;293379;364868;82.3;80.4
40-49;K;345023;342458;375218;92.0;91.3
40-49;M;337225;334261;376276;89.6;88.8
50-59;K;378274;376727;401642;94.2;93.8
50-59;M;379299;377678;405115;93.6;93.2
60-69;K;325383;324608;338963;96.0;95.8
60-69;M;316241;315446;329194;96.1;95.8
70-79;K;291333;290914;299143;97.4;97.2
70-79;M;260731;260389;267347;97.5;97.4
80-89;K;125362;125122;129133;97.1;96.9
80-89;M;90211;90074;92488;97.5;97.4
90+;K;23572;23462;24823;95.0;94.5
90+;M;9356;9330;9717;96.3;96.0
