Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  14.439 (49);  15.322 (51);  29.761
10-19;  30.867 (49);  31.953 (51);  62.820
20-29;  37.936 (49);  39.733 (51);  77.669
30-39;  25.622 (50);  25.595 (50);  51.217
40-49;  26.390 (53);  23.713 (47);  50.103
50-59;  22.644 (51);  22.074 (49);  44.718
60-69;  11.211 (49);  11.899 (51);  23.110
70-79;   6.653 (50);   6.783 (50);  13.436
80-89;   3.786 (57);   2.818 (43);   6.604
90+;   1.429 (71);     594 (29);   2.023
I alt; 180.977 (50); 180.484 (50); 361.461
