"Faerdigvacc. dato","regionskode_current","Regionsnavn","Antal faerdigvacc.","regionskode_num"
2021-01-15,1084,Hovedstaden,5,1084
2021-01-16,1082,Midtjylland,7,1082
2021-01-17,1081,Nordjylland,1,1081
2021-01-17,1082,Midtjylland,1,1082
2021-01-17,1083,Syddanmark,471,1083
2021-01-17,1084,Hovedstaden,36,1084
2021-01-17,1085,Sjælland,194,1085
2021-01-18,1081,Nordjylland,3,1081
2021-01-18,1082,Midtjylland,163,1082
2021-01-18,1083,Syddanmark,513,1083
2021-01-18,1084,Hovedstaden,133,1084
2021-01-18,1085,Sjælland,1302,1085
2021-01-19,1081,Nordjylland,2,1081
2021-01-19,1082,Midtjylland,9,1082
2021-01-19,1083,Syddanmark,453,1083
2021-01-19,1084,Hovedstaden,167,1084
2021-01-19,1085,Sjælland,1441,1085
2021-01-20,1081,Nordjylland,2,1081
2021-01-20,1082,Midtjylland,98,1082
2021-01-20,1083,Syddanmark,313,1083
2021-01-20,1084,Hovedstaden,124,1084
2021-01-20,1085,Sjælland,1340,1085
2021-01-21,1081,Nordjylland,10,1081
2021-01-21,1082,Midtjylland,577,1082
2021-01-21,1083,Syddanmark,454,1083
2021-01-21,1084,Hovedstaden,113,1084
2021-01-21,1085,Sjælland,1187,1085
2021-01-22,1081,Nordjylland,2475,1081
2021-01-22,1082,Midtjylland,1191,1082
2021-01-22,1083,Syddanmark,1457,1083
2021-01-22,1084,Hovedstaden,73,1084
2021-01-22,1085,Sjælland,449,1085
2021-01-23,1081,Nordjylland,1362,1081
2021-01-23,1082,Midtjylland,1065,1082
2021-01-23,1083,Syddanmark,176,1083
2021-01-23,1084,Hovedstaden,4175,1084
2021-01-23,1085,Sjælland,358,1085
2021-01-24,1081,Nordjylland,638,1081
2021-01-24,1082,Midtjylland,1343,1082
2021-01-24,1083,Syddanmark,227,1083
2021-01-24,1084,Hovedstaden,4051,1084
2021-01-24,1085,Sjælland,268,1085
2021-01-25,1081,Nordjylland,11,1081
2021-01-25,1082,Midtjylland,169,1082
2021-01-25,1083,Syddanmark,1807,1083
2021-01-25,1084,Hovedstaden,247,1084
2021-01-25,1085,Sjælland,264,1085
2021-01-26,1081,Nordjylland,154,1081
2021-01-26,1082,Midtjylland,44,1082
2021-01-26,1083,Syddanmark,968,1083
2021-01-26,1084,Hovedstaden,137,1084
2021-01-26,1085,Sjælland,433,1085
2021-01-27,1081,Nordjylland,221,1081
2021-01-27,1082,Midtjylland,1116,1082
2021-01-27,1083,Syddanmark,1104,1083
2021-01-27,1084,Hovedstaden,629,1084
2021-01-27,1085,Sjælland,1287,1085
2021-01-28,1081,Nordjylland,517,1081
2021-01-28,1082,Midtjylland,1777,1082
2021-01-28,1083,Syddanmark,482,1083
2021-01-28,1084,Hovedstaden,3774,1084
2021-01-28,1085,Sjælland,1555,1085
2021-01-29,1081,Nordjylland,1916,1081
2021-01-29,1082,Midtjylland,3824,1082
2021-01-29,1083,Syddanmark,3034,1083
2021-01-29,1084,Hovedstaden,7607,1084
2021-01-29,1085,Sjælland,1891,1085
2021-01-30,1081,Nordjylland,1859,1081
2021-01-30,1082,Midtjylland,2635,1082
2021-01-30,1083,Syddanmark,2788,1083
2021-01-30,1084,Hovedstaden,4659,1084
2021-01-30,1085,Sjælland,976,1085
2021-01-31,1081,Nordjylland,1590,1081
2021-01-31,1082,Midtjylland,6242,1082
2021-01-31,1083,Syddanmark,1227,1083
2021-01-31,1084,Hovedstaden,2660,1084
2021-01-31,1085,Sjælland,565,1085
2021-02-01,1081,Nordjylland,617,1081
2021-02-01,1082,Midtjylland,1489,1082
2021-02-01,1083,Syddanmark,3148,1083
2021-02-01,1084,Hovedstaden,1882,1084
2021-02-01,1085,Sjælland,754,1085
2021-02-02,1081,Nordjylland,372,1081
2021-02-02,1082,Midtjylland,1008,1082
2021-02-02,1083,Syddanmark,1089,1083
2021-02-02,1084,Hovedstaden,106,1084
2021-02-02,1085,Sjælland,451,1085
2021-02-03,1081,Nordjylland,527,1081
2021-02-03,1082,Midtjylland,1396,1082
2021-02-03,1083,Syddanmark,540,1083
2021-02-03,1084,Hovedstaden,3005,1084
2021-02-03,1085,Sjælland,719,1085
