"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,86609,43845,14.7,7.4,590409
Midtjylland,187939,97552,14.1,7.3,1333563
Syddanmark,167751,94645,13.7,7.7,1224208
Hovedstaden,250670,125965,13.5,6.8,1855881
Sjælland,128610,61625,15.3,7.3,839709
