"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-04-08,Hovedstaden,K,156900,79255,155067,79003,1833,252
2021-04-08,Hovedstaden,M,93770,46710,92220,46519,1550,191
2021-04-08,Midtjylland,K,119561,62222,116046,60210,3515,2012
2021-04-08,Midtjylland,M,68378,35330,65195,33522,3183,1808
2021-04-08,Nordjylland,K,55338,27950,54535,27685,803,265
2021-04-08,Nordjylland,M,31271,15895,30549,15647,722,248
2021-04-08,Sjælland,K,79224,37628,78765,36680,459,948
2021-04-08,Sjælland,M,49386,23997,48986,23148,400,849
2021-04-08,Syddanmark,K,105926,58433,103994,57557,1932,876
2021-04-08,Syddanmark,M,61825,36212,59879,35423,1946,789
