"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16866,0
AstraZeneca Covid-19 vaccine,Midtjylland,33615,4
AstraZeneca Covid-19 vaccine,Syddanmark,30420,248
AstraZeneca Covid-19 vaccine,Hovedstaden,45119,11
AstraZeneca Covid-19 vaccine,Sjælland,23870,330
Moderna Covid-19 Vaccine,Nordjylland,4405,3921
Moderna Covid-19 Vaccine,Midtjylland,15343,4112
Moderna Covid-19 Vaccine,Syddanmark,14379,5593
Moderna Covid-19 Vaccine,Hovedstaden,19970,2452
Moderna Covid-19 Vaccine,Sjælland,10015,2396
Pfizer BioNTech Covid-19 vacc,Nordjylland,65338,39924
Pfizer BioNTech Covid-19 vacc,Midtjylland,138981,93436
Pfizer BioNTech Covid-19 vacc,Syddanmark,122952,88804
Pfizer BioNTech Covid-19 vacc,Hovedstaden,185581,123502
Pfizer BioNTech Covid-19 vacc,Sjælland,94725,58899
