Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     661 (49);     675 (51);   1.336
10-19;   1.887 (49);   1.928 (51);   3.815
20-29;   3.154 (52);   2.867 (48);   6.021
30-39;   2.284 (53);   2.061 (47);   4.345
40-49;   2.679 (55);   2.195 (45);   4.874
50-59;   2.570 (53);   2.257 (47);   4.827
60-69;   1.298 (48);   1.407 (52);   2.705
70-79;     848 (47);     961 (53);   1.809
80-89;     617 (56);     476 (44);   1.093
90+;     237 (72);      94 (28);     331
I alt;  16.235 (52);  14.921 (48);  31.156
