Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     205 (52);     187 (48);     392
10-19;     396 (55);     322 (45);     718
20-29;   1.175 (61);     754 (39);   1.929
30-39;   1.159 (60);     784 (40);   1.943
40-49;   1.375 (60);     931 (40);   2.306
50-59;   1.405 (59);     969 (41);   2.374
60-69;     748 (50);     753 (50);   1.501
70-79;     508 (46);     606 (54);   1.114
80-89;     484 (57);     362 (43);     846
90+;     196 (73);      73 (27);     269
I alt;   7.651 (57);   5.741 (43);  13.392
