"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-04-06,Hovedstaden,K,153268,78898,150213,78879,3055,19
2021-04-06,Hovedstaden,M,90739,46438,88035,46425,2704,13
2021-04-06,Midtjylland,K,113345,59052,112842,58967,503,85
2021-04-06,Midtjylland,M,62659,32634,62230,32579,429,55
2021-04-06,Nordjylland,K,53444,27619,52519,27270,925,349
2021-04-06,Nordjylland,M,29499,15591,28646,15328,853,263
2021-04-06,Sjælland,K,77318,35711,76507,35707,811,4
2021-04-06,Sjælland,M,47716,22169,46954,22162,762,7
2021-04-06,Syddanmark,K,102711,56563,101527,56289,1184,274
2021-04-06,Syddanmark,M,58720,34512,57630,34264,1090,248
