"Kommunenavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
København,61422,30010,9.6,4.7,638784
Frederiksberg,13759,6941,13.3,6.7,103293
Ballerup,7281,3526,14.8,7.2,49074
Brøndby,5309,2789,15.0,7.9,35413
Dragør,2285,1179,15.7,8.1,14562
Gentofte,10954,5879,14.7,7.9,74368
Gladsaxe,9396,5032,13.6,7.3,69168
Glostrup,3738,2182,15.9,9.3,23480
Herlev,4402,2371,15.3,8.2,28827
Albertslund,3853,2075,14.2,7.6,27175
Hvidovre,7763,4469,14.6,8.4,53335
Høje Tåstrup,7282,3713,14.0,7.1,52186
Lyngby-Taarbæk,8235,4539,14.5,8.0,56926
Rødovre,5686,3069,13.8,7.4,41208
Ishøj,2875,1421,12.5,6.2,23081
Tårnby,5954,3168,13.9,7.4,42698
Vallensbæk,2558,1267,15.5,7.7,16540
Furesø,6311,3436,15.4,8.4,40947
Allerød,3859,2100,14.9,8.1,25876
Fredensborg,6175,3445,15.1,8.4,41028
Helsingør,10119,5269,16.0,8.4,63050
Hillerød,8356,4358,16.2,8.4,51710
Hørsholm,4302,2433,17.3,9.8,24824
Rudersdal,9073,4935,15.9,8.7,57027
Egedal,5916,2744,13.5,6.3,43689
Frederikssund,7618,3754,16.7,8.2,45612
Greve,6556,3347,13.0,6.6,50549
Køge,8030,4112,13.0,6.7,61543
Halsnæs,5469,2538,17.4,8.1,31447
Roskilde,12593,6400,14.2,7.2,88765
Solrød,2914,1559,12.4,6.6,23463
Gribskov,6849,3400,16.7,8.3,41029
Odsherred,5511,2467,16.7,7.5,32911
Holbæk,10827,4925,15.0,6.8,72041
Faxe,4970,2491,13.5,6.8,36776
Kalundborg,7130,3139,14.7,6.5,48438
Ringsted,4300,2027,12.3,5.8,34987
Slagelse,13000,5242,16.4,6.6,79278
Stevns,3443,1628,14.8,7.0,23206
Sorø,4754,1995,15.9,6.7,29944
Lejre,4095,1986,14.4,7.0,28352
Lolland,6505,2893,16.1,7.2,40390
Næstved,12543,5897,15.1,7.1,83316
Guldborgsund,10718,4657,17.8,7.7,60338
Vordingborg,7145,3115,15.8,6.9,45220
Bornholm,7208,3294,18.1,8.3,39734
Middelfart,5826,3412,14.8,8.7,39284
Assens,5438,2802,13.3,6.9,40883
Faaborg-Midtfyn,7027,3720,13.6,7.2,51645
Kerteminde,3503,1788,14.7,7.5,23838
Nyborg,4716,2169,14.8,6.8,31959
Odense,27294,13820,13.3,6.7,205023
Svendborg,9085,5288,15.4,9.0,58834
Nordfyn,4008,2061,13.6,7.0,29525
Langeland,2071,1091,16.8,8.8,12360
Ærø,964,566,16.1,9.4,5997
Haderslev,6301,3837,11.4,6.9,55318
Billund,3180,1902,12.0,7.2,26501
Sønderborg,9329,5623,12.6,7.6,73810
Tønder,4152,2705,11.2,7.3,37020
Esbjerg,16665,9205,14.4,8.0,115566
Fanø,475,315,13.8,9.1,3447
Varde,6769,4081,13.6,8.2,49678
Vejen,5504,3434,12.9,8.0,42790
Aabenraa,6062,3702,10.3,6.3,58578
Fredericia,7028,4258,13.7,8.3,51375
Horsens,11066,5626,12.0,6.1,92596
Kolding,11091,6823,11.9,7.3,93105
Vejle,14943,8473,12.7,7.2,117531
Herning,12321,6701,13.8,7.5,89301
Holstebro,8552,4470,14.6,7.6,58690
Lemvig,3066,1664,15.7,8.5,19562
Struer,3284,1815,15.8,8.7,20816
Syddjurs,5989,3200,13.8,7.4,43302
Norddjurs,5511,3127,14.9,8.5,36983
Favrskov,6033,3187,12.4,6.6,48500
Odder,3392,1885,14.7,8.2,23027
Randers,13243,7074,13.5,7.2,98327
Silkeborg,12975,6669,13.5,6.9,95961
Samsø,713,465,19.3,12.6,3692
Skanderborg,7641,3784,12.0,6.0,63467
Århus,41174,20053,11.7,5.7,352427
Ikast-Brande,5325,2758,12.8,6.6,41554
Ringkøbing-Skjern,8105,4325,14.4,7.7,56144
Hedensted,6034,3184,12.9,6.8,46878
Morsø,3299,2057,16.4,10.2,20071
Skive,6868,3913,15.1,8.6,45411
Thisted,5938,3215,13.8,7.5,43131
Viborg,14712,7786,15.2,8.1,96677
Brønderslev,5200,2645,14.4,7.3,36141
Frederikshavn,8908,4815,15.1,8.2,58954
Vesthimmerland,5574,2802,15.3,7.7,36355
Læsø,403,188,22.7,10.6,1777
Rebild,3887,2003,12.7,6.6,30520
Mariagerfjord,6083,3171,14.6,7.6,41584
Jammerbugt,5168,2559,13.5,6.7,38165
Aalborg,28583,14715,13.0,6.7,219635
Hjørring,9900,5040,15.4,7.9,64122
