"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,61422,30010,638784
Frederiksberg,13759,6941,103293
Ballerup,7281,3526,49074
Brøndby,5309,2789,35413
Dragør,2285,1179,14562
Gentofte,10954,5879,74368
Gladsaxe,9396,5032,69168
Glostrup,3738,2182,23480
Herlev,4402,2371,28827
Albertslund,3853,2075,27175
Hvidovre,7763,4469,53335
Høje-Taastrup,7282,3713,52186
Lyngby-Taarbæk,8235,4539,56926
Rødovre,5686,3069,41208
Ishøj,2875,1421,23081
Tårnby,5954,3168,42698
Vallensbæk,2558,1267,16540
Furesø,6311,3436,40947
Allerød,3859,2100,25876
Fredensborg,6175,3445,41028
Helsingør,10119,5269,63050
Hillerød,8356,4358,51710
Hørsholm,4302,2433,24824
Rudersdal,9073,4935,57027
Egedal,5916,2744,43689
Frederikssund,7618,3754,45612
Greve,6556,3347,50549
Køge,8030,4112,61543
Frederiksværk-Hundested,5469,2538,31447
Roskilde,12593,6400,88765
Solrød,2914,1559,23463
Gribskov,6849,3400,41029
Odsherred,5511,2467,32911
Holbæk,10827,4925,72041
Faxe,4970,2491,36776
Kalundborg,7130,3139,48438
Ringsted,4300,2027,34987
Slagelse,13000,5242,79278
Stevns,3443,1628,23206
Sorø,4754,1995,29944
Lejre,4095,1986,28352
Lolland,6505,2893,40390
Næstved,12543,5897,83316
Guldborgsund,10718,4657,60338
Vordingborg,7145,3115,45220
Bornholm,7208,3294,39734
Middelfart,5826,3412,39284
Assens,5438,2802,40883
Faaborg-Midtfyn,7027,3720,51645
Kerteminde,3503,1788,23838
Nyborg,4716,2169,31959
Odense,27294,13820,205023
Svendborg,9085,5288,58834
Nordfyns,4008,2061,29525
Langeland,2071,1091,12360
Ærø,964,566,5997
Haderslev,6301,3837,55318
Billund,3180,1902,26501
Sønderborg,9329,5623,73810
Tønder,4152,2705,37020
Esbjerg,16665,9205,115566
Fanø,475,315,3447
Varde,6769,4081,49678
Vejen,5504,3434,42790
Aabenraa,6062,3702,58578
Fredericia,7028,4258,51375
Horsens,11066,5626,92596
Kolding,11091,6823,93105
Vejle,14943,8473,117531
Herning,12321,6701,89301
Holstebro,8552,4470,58690
Lemvig,3066,1664,19562
Struer,3284,1815,20816
Syddjurs,5989,3200,43302
Norddjurs,5511,3127,36983
Favrskov,6033,3187,48500
Odder,3392,1885,23027
Randers,13243,7074,98327
Silkeborg,12975,6669,95961
Samsø,713,465,3692
Skanderborg,7641,3784,63467
Århus,41174,20053,352427
Ikast-Brande,5325,2758,41554
Ringkøbing-Skjern,8105,4325,56144
Hedensted,6034,3184,46878
Morsø,3299,2057,20071
Skive,6868,3913,45411
Thisted,5938,3215,43131
Viborg,14712,7786,96677
Brønderslev-Dronninglund,5200,2645,36141
Frederikshavn,8908,4815,58954
Vesthimmerlands,5574,2802,36355
Læsø,403,188,1777
Rebild,3887,2003,30520
Mariagerfjord,6083,3171,41584
Jammerbugt,5168,2559,38165
Ålborg,28583,14715,219635
Hjørring,9900,5040,64122
