Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     305 (49);     317 (51);     622
10-19;     707 (51);     683 (49);   1.390
20-29;   1.670 (56);   1.320 (44);   2.990
30-39;   1.421 (55);   1.159 (45);   2.580
40-49;   1.637 (57);   1.250 (43);   2.887
50-59;   1.645 (56);   1.275 (44);   2.920
60-69;     850 (48);     910 (52);   1.760
70-79;     574 (46);     666 (54);   1.240
80-89;     500 (57);     379 (43);     879
90+;     202 (72);      77 (28);     279
I alt;   9.511 (54);   8.036 (46);  17.547
