"Faerdigvacc. dato","regionskode_current","Regionsnavn","Antal faerdigvacc.","regionskode_num"
2021-01-04,1083,Syddanmark,1,1083
2021-01-08,1084,Hovedstaden,1,1084
2021-01-09,1084,Hovedstaden,1,1084
2021-01-13,1084,Hovedstaden,1,1084
2021-01-14,1084,Hovedstaden,1,1084
2021-01-15,1084,Hovedstaden,5,1084
2021-01-16,1082,Midtjylland,7,1082
2021-01-16,1085,Sjælland,1,1085
2021-01-17,1081,Nordjylland,1,1081
2021-01-17,1082,Midtjylland,2,1082
2021-01-17,1083,Syddanmark,437,1083
2021-01-17,1084,Hovedstaden,38,1084
2021-01-17,1085,Sjælland,201,1085
2021-01-18,1081,Nordjylland,3,1081
2021-01-18,1082,Midtjylland,166,1082
2021-01-18,1083,Syddanmark,500,1083
2021-01-18,1084,Hovedstaden,136,1084
2021-01-18,1085,Sjælland,1275,1085
2021-01-19,1081,Nordjylland,2,1081
2021-01-19,1082,Midtjylland,10,1082
2021-01-19,1083,Syddanmark,439,1083
2021-01-19,1084,Hovedstaden,169,1084
2021-01-19,1085,Sjælland,1403,1085
2021-01-20,1081,Nordjylland,3,1081
2021-01-20,1082,Midtjylland,98,1082
2021-01-20,1083,Syddanmark,300,1083
2021-01-20,1084,Hovedstaden,127,1084
2021-01-20,1085,Sjælland,1293,1085
2021-01-21,1081,Nordjylland,8,1081
2021-01-21,1082,Midtjylland,578,1082
2021-01-21,1083,Syddanmark,432,1083
2021-01-21,1084,Hovedstaden,116,1084
2021-01-21,1085,Sjælland,1154,1085
2021-01-22,1081,Nordjylland,2453,1081
2021-01-22,1082,Midtjylland,1152,1082
2021-01-22,1083,Syddanmark,1445,1083
2021-01-22,1084,Hovedstaden,79,1084
2021-01-22,1085,Sjælland,448,1085
2021-01-23,1081,Nordjylland,1325,1081
2021-01-23,1082,Midtjylland,1015,1082
2021-01-23,1083,Syddanmark,167,1083
2021-01-23,1084,Hovedstaden,4077,1084
2021-01-23,1085,Sjælland,367,1085
2021-01-24,1081,Nordjylland,625,1081
2021-01-24,1082,Midtjylland,1264,1082
2021-01-24,1083,Syddanmark,217,1083
2021-01-24,1084,Hovedstaden,3960,1084
