"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-07-05,Hovedstaden,K,559422,359889,557347,353264,2075,6625
2021-07-05,Hovedstaden,M,513930,307842,511937,301078,1993,6764
2021-07-05,Midtjylland,K,393968,250397,393395,250059,573,338
2021-07-05,Midtjylland,M,364880,206549,364257,206101,623,448
2021-07-05,Nordjylland,K,183665,114320,182725,111851,940,2469
2021-07-05,Nordjylland,M,172173,93382,171221,90161,952,3221
2021-07-05,Sjælland,K,272816,184177,271484,182256,1332,1921
2021-07-05,Sjælland,M,253993,156268,252462,154059,1531,2209
2021-07-05,Syddanmark,K,366674,239327,365371,236775,1303,2552
2021-07-05,Syddanmark,M,337775,199236,336271,196413,1504,2823
