"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,355838,207702,60.3,35.2,590455
Midtjylland,758848,456946,56.8,34.2,1335473
Syddanmark,704449,438563,57.5,35.8,1224912
Hovedstaden,1073352,667731,57.8,35.9,1857654
Sjælland,526809,340445,62.6,40.4,841745
