"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,328530,172573,639010
Frederiksberg,61275,36698,102862
Ballerup,29204,19690,49079
Brøndby,19447,13663,35514
Dragør,9640,6603,14615
Gentofte,47266,31372,74286
Gladsaxe,39918,25270,68880
Glostrup,13420,9097,23517
Herlev,16898,11298,28805
Albertslund,14800,10071,27101
Hvidovre,30316,19767,53229
Høje-Taastrup,28175,19004,52458
Lyngby-Taarbæk,35959,22237,57001
Rødovre,23089,15202,41202
Ishøj,11419,7972,23031
Tårnby,25712,16509,42615
Vallensbæk,9180,6300,16541
Furesø,25736,17226,41214
Allerød,16842,10955,25933
Fredensborg,25649,17451,40986
Helsingør,40074,27532,63142
Hillerød,32840,21478,52182
Hørsholm,16949,11725,24817
Rudersdal,37350,23859,57237
Egedal,27536,17849,44097
Frederikssund,30285,20837,45808
Greve,29658,18772,50697
Køge,37784,22411,61643
Frederiksværk-Hundested,20815,14950,31457
Roskilde,54904,33279,88987
Solrød,14188,8453,23506
Gribskov,27588,19990,41208
Odsherred,22573,15675,32968
Holbæk,45713,29386,72523
Faxe,22976,14354,36967
Kalundborg,30480,20524,48424
Ringsted,20460,11671,35036
Slagelse,49263,32955,79539
Stevns,14922,9575,23264
Sorø,19079,12537,30022
Lejre,18049,11471,28493
Lolland,26401,18437,40321
Næstved,50985,33185,83512
Guldborgsund,39886,27553,60470
Vordingborg,29488,20207,45373
Bornholm,27440,20553,39827
Middelfart,24265,15275,39451
Assens,24642,15978,40823
Faaborg-Midtfyn,31659,19993,51788
Kerteminde,14665,9754,23907
Nyborg,19399,12040,32072
Odense,106720,68630,204828
Svendborg,36702,23169,58888
Nordfyns,17563,11511,29591
Langeland,8405,5813,12344
Ærø,4103,3132,6022
Haderslev,31536,17150,55417
Billund,15537,8857,26537
Sønderborg,44238,27456,73711
Tønder,21362,11853,36996
Esbjerg,67181,46015,115486
Fanø,2427,1735,3452
Varde,29602,20025,49705
Vejen,23909,13961,42838
Aabenraa,34421,20217,58499
Fredericia,30161,17695,51455
Horsens,50935,29944,93091
Kolding,50514,28856,93034
Vejle,65438,39448,118068
Herning,50157,31289,89326
Holstebro,33665,21414,58604
Lemvig,12581,8399,19504
Struer,13286,8362,20820
Syddjurs,27686,16474,43456
Norddjurs,23661,14085,36982
Favrskov,28810,15683,48657
Odder,14604,9024,23086
Randers,57029,32703,98547
Silkeborg,55039,33330,96489
Samsø,2699,2002,3712
Skanderborg,37501,21109,63817
Århus,181509,107144,352495
Ikast-Brande,23507,14359,41743
Ringkøbing-Skjern,33511,22297,56236
Hedensted,28337,16857,47026
Morsø,13245,8007,20088
Skive,27960,18409,45209
Thisted,27892,16049,43122
Viborg,56371,34062,96673
Brønderslev-Dronninglund,22157,12399,36174
Frederikshavn,38356,22861,58992
Vesthimmerlands,22401,14262,36343
Læsø,1427,1385,1780
Rebild,17766,10120,30590
Mariagerfjord,25781,15167,41547
Jammerbugt,23772,13995,38182
Ålborg,121979,69773,219596
Hjørring,41062,23684,64041
