Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     135 (50);     133 (50);     268
10-19;     283 (55);     228 (45);     511
20-29;     975 (62);     594 (38);   1.569
30-39;     999 (61);     636 (39);   1.635
40-49;   1.208 (60);     805 (40);   2.013
50-59;   1.243 (60);     841 (40);   2.084
60-69;     658 (50);     668 (50);   1.326
70-79;     436 (45);     527 (55);     963
80-89;     440 (57);     331 (43);     771
90+;     179 (72);      68 (28);     247
I alt;   6.556 (58);   4.831 (42);  11.387
