"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;498440;483674;591745
Midtjylland;1121125;1087812;1342036
Syddanmark;1022182;992930;1228362
Hovedstaden;1496749;1447879;1868110
Sjælland;693255;673937;843440
