"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;7;2;90835;0.0;0.0
0-2;M;1;0;95739;0.0;0.0
3-5;K;8081;3292;91044;8.9;3.6
3-5;M;8796;3690;96322;9.1;3.8
6-11;K;87436;52174;179150;48.8;29.1
6-11;M;92273;55286;188267;49.0;29.4
12-15;K;106795;101452;132574;80.6;76.5
12-15;M;112675;107043;140139;80.4;76.4
16-19;K;121057;119076;134136;90.2;88.8
16-19;M;124879;122205;140420;88.9;87.0
20-39;K;621312;605913;732676;84.8;82.7
20-39;M;626830;609767;763045;82.1;79.9
40-64;K;884562;878585;946123;93.5;92.9
40-64;M;875144;868826;947490;92.4;91.7
65-79;K;456870;455776;470549;97.1;96.9
65-79;M;421226;420204;433335;97.2;97.0
80+;K;168217;167649;173479;97.0;96.6
80+;M;115590;115292;118370;97.7;97.4
