"Kommunenavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
København;506328;489969;644988
Frederiksberg;86549;84121;103536
Ballerup;38905;37601;49196
Brøndby;25759;24785;35732
Dragør;12256;11785;14626
Gentofte;62091;60041;74239
Gladsaxe;55359;53282;69281
Glostrup;18203;17607;23469
Herlev;22569;21701;28814
Albertslund;20566;19717;27609
Hvidovre;41370;39731;53220
Høje-Taastrup;39522;38067;53023
Lyngby-Taarbæk;48527;46812;57774
Rødovre;32021;30813;41429
Ishøj;16104;15463;23200
Tårnby;34120;32879;42653
Vallensbæk;12515;12049;16484
Furesø;34159;32971;41384
Allerød;21971;21311;25845
Fredensborg;33453;32393;41174
Helsingør;51634;50204;62856
Hillerød;43983;42664;53255
Hørsholm;21087;20515;24747
Rudersdal;48381;46897;57258
Egedal;36853;35691;44368
Frederikssund;38425;37318;45786
Greve;40648;39362;50805
Køge;50306;48599;61672
Frederiksværk-Hundested;25973;25231;31369
Roskilde;74841;72690;89492
Solrød;19464;18835;23802
Gribskov;34093;33180;41148
Odsherred;27575;26974;32836
Holbæk;60480;58763;72848
Faxe;30341;29491;37155
Kalundborg;39644;38673;48370
Ringsted;28109;27242;35140
Slagelse;64794;62841;79672
Stevns;19406;18852;23498
Sorø;25124;24413;30006
Lejre;23688;23017;28588
Lolland;32771;32014;40097
Næstved;69055;67213;83839
Guldborgsund;49625;48499;60275
Vordingborg;37384;36459;45345
Bornholm;33973;33081;39647
Middelfart;33858;32938;39626
Assens;34916;33811;40944
Faaborg-Midtfyn;44125;42719;51826
Kerteminde;20471;19860;24029
Nyborg;27502;26607;32127
Odense;171855;166272;206011
Svendborg;50461;49115;59176
Nordfyns;24907;24084;29723
Langeland;10537;10305;12285
Ærø;5281;5129;6027
Haderslev;45533;44291;55316
Billund;22157;21593;26669
Sønderborg;61524;59619;73733
Tønder;29870;29046;36833
Esbjerg;95568;93024;115458
Fanø;2967;2904;3431
Varde;41131;40008;49658
Vejen;34920;33923;42590
Aabenraa;47165;45941;58669
Fredericia;42945;41824;51607
Horsens;76713;74403;94537
Kolding;76808;74790;93534
Vejle;97681;95127;119090
Herning;74468;72491;89218
Holstebro;49299;47931;58527
Lemvig;16560;16137;19407
Struer;17835;17391;20801
Syddjurs;36835;35713;43601
Norddjurs;31242;30400;36932
Favrskov;41376;39893;48912
Odder;19923;19227;23294
Randers;82444;79984;98990
Silkeborg;80745;78295;97385
Samsø;3247;3202;3712
Skanderborg;53846;51837;64332
Århus;295341;286135;355314
Ikast-Brande;34252;33366;41863
Ringkøbing-Skjern;46823;45566;56201
Hedensted;39520;38507;47086
Morsø;17012;16463;20050
Skive;38799;37800;45087
Thisted;36268;35148;43086
Viborg;81857;79534;96837
Brønderslev-Dronninglund;30424;29483;36208
Frederikshavn;50073;48935;58853
Vesthimmerlands;30005;29081;36319
Læsø;1530;1502;1773
Rebild;25443;24576;30674
Mariagerfjord;35169;34019;41649
Jammerbugt;32234;31257;38174
Ålborg;185915;180234;221122
Hjørring;54367;52976;63837
