"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90836;0.0;0.0
0-2;M;1;0;95739;0.0;0.0
3-5;K;8652;3594;91615;9.4;3.9
3-5;M;9381;3997;96907;9.7;4.1
6-11;K;88470;53047;180184;49.1;29.4
6-11;M;93427;56287;189421;49.3;29.7
12-15;K;119292;114297;145071;82.2;78.8
12-15;M;125316;120003;152780;82.0;78.5
16-19;K;123990;121966;137069;90.5;89.0
16-19;M;126726;123966;142267;89.1;87.1
20-39;K;621020;605668;732384;84.8;82.7
20-39;M;625397;608444;761612;82.1;79.9
40-64;K;890892;884947;952453;93.5;92.9
40-64;M;882118;875865;954464;92.4;91.8
65-79;K;450058;449001;463737;97.1;96.8
65-79;M;413029;412025;425138;97.2;96.9
80+;K;151955;151397;157217;96.7;96.3
80+;M;102019;101726;104799;97.3;97.1
