"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;17030;100
AstraZeneca Covid-19 vaccine;Midtjylland;34024;226
AstraZeneca Covid-19 vaccine;Syddanmark;30837;473
AstraZeneca Covid-19 vaccine;Hovedstaden;46413;1090
AstraZeneca Covid-19 vaccine;Sjælland;24018;468
Janssen COVID-19 vaccine;Nordjylland;3679;3679
Janssen COVID-19 vaccine;Midtjylland;9894;9894
Janssen COVID-19 vaccine;Syddanmark;7646;7646
Janssen COVID-19 vaccine;Hovedstaden;22817;22817
Janssen COVID-19 vaccine;Sjælland;2862;2862
Moderna Covid-19 Vaccine;Nordjylland;71550;70688
Moderna Covid-19 Vaccine;Midtjylland;127483;125748
Moderna Covid-19 Vaccine;Syddanmark;136335;163182
Moderna Covid-19 Vaccine;Hovedstaden;153392;150895
Moderna Covid-19 Vaccine;Sjælland;85234;105954
Pfizer BioNTech Covid-19 vacc;Nordjylland;406181;409207
Pfizer BioNTech Covid-19 vacc;Midtjylland;949724;951944
Pfizer BioNTech Covid-19 vacc;Syddanmark;847364;821629
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1274127;1273077
Pfizer BioNTech Covid-19 vacc;Sjælland;581141;564653
