"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;58842;31337;297884;19.8;10.5
0-9;M;62847;33556;314519;20.0;10.7
10-19;K;264534;244659;329855;80.2;74.2
10-19;M;275777;254668;346368;79.6;73.5
20-29;K;321408;313184;382483;84.0;81.9
20-29;M;327058;317145;398863;82.0;79.5
30-39;K;299904;292729;350193;85.6;83.6
30-39;M;299772;292622;364182;82.3;80.4
40-49;K;337438;334116;367713;91.8;90.9
40-49;M;329224;325728;368102;89.4;88.5
50-59;K;377703;375662;401136;94.2;93.6
50-59;M;379185;377040;404977;93.6;93.1
60-69;K;328793;327734;342392;96.0;95.7
60-69;M;318985;317830;332001;96.1;95.7
70-79;K;297498;296849;305431;97.4;97.2
70-79;M;268976;268432;275745;97.5;97.3
80-89;K;137585;137190;141491;97.2;97.0
80-89;M;102549;102302;104937;97.7;97.5
90+;K;30632;30459;31988;95.8;95.2
90+;M;13041;12990;13433;97.1;96.7
