Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     215 (53);     192 (47);     407
10-19;     417 (55);     337 (45);     754
20-29;   1.214 (60);     800 (40);   2.014
30-39;   1.180 (59);     826 (41);   2.006
40-49;   1.409 (59);     977 (41);   2.386
50-59;   1.429 (59);   1.007 (41);   2.436
60-69;     764 (50);     767 (50);   1.531
70-79;     519 (46);     613 (54);   1.132
80-89;     487 (57);     366 (43);     853
90+;     196 (73);      74 (27);     270
I alt;   7.830 (57);   5.959 (43);  13.789
