"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16864,1
AstraZeneca Covid-19 vaccine,Midtjylland,33652,4
AstraZeneca Covid-19 vaccine,Syddanmark,30417,247
AstraZeneca Covid-19 vaccine,Hovedstaden,45150,19
AstraZeneca Covid-19 vaccine,Sjælland,23857,333
Moderna Covid-19 Vaccine,Nordjylland,4859,4232
Moderna Covid-19 Vaccine,Midtjylland,19721,8546
Moderna Covid-19 Vaccine,Syddanmark,17135,9747
Moderna Covid-19 Vaccine,Hovedstaden,27061,11042
Moderna Covid-19 Vaccine,Sjælland,17149,8495
Pfizer BioNTech Covid-19 vacc,Nordjylland,106765,56425
Pfizer BioNTech Covid-19 vacc,Midtjylland,211680,124725
Pfizer BioNTech Covid-19 vacc,Syddanmark,209634,109470
Pfizer BioNTech Covid-19 vacc,Hovedstaden,313850,159315
Pfizer BioNTech Covid-19 vacc,Sjælland,144734,86248
