Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     287 (49);     294 (51);     581
10-19;     652 (52);     598 (48);   1.250
20-29;   1.530 (57);   1.149 (43);   2.679
30-39;   1.338 (55);   1.075 (45);   2.413
40-49;   1.564 (57);   1.159 (43);   2.723
50-59;   1.589 (57);   1.211 (43);   2.800
60-69;     808 (48);     877 (52);   1.685
70-79;     559 (46);     644 (54);   1.203
80-89;     495 (57);     375 (43);     870
90+;     199 (72);      77 (28);     276
I alt;   9.021 (55);   7.459 (45);  16.480
