Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     245 (49);     252 (51);     497
10-19;     550 (54);     462 (46);   1.012
20-29;   1.388 (58);   1.003 (42);   2.391
30-39;   1.270 (56);     987 (44);   2.257
40-49;   1.500 (58);   1.099 (42);   2.599
50-59;   1.529 (57);   1.155 (43);   2.684
60-69;     787 (48);     841 (52);   1.628
70-79;     545 (46);     634 (54);   1.179
80-89;     490 (57);     370 (43);     860
90+;     197 (72);      75 (28);     272
I alt;   8.501 (55);   6.878 (45);  15.379
