Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     146 (51);     140 (49);     286
10-19;     299 (55);     247 (45);     546
20-29;   1.013 (62);     618 (38);   1.631
30-39;   1.027 (61);     659 (39);   1.686
40-49;   1.237 (60);     822 (40);   2.059
50-59;   1.276 (60);     851 (40);   2.127
60-69;     677 (50);     682 (50);   1.359
70-79;     450 (45);     545 (55);     995
80-89;     452 (57);     341 (43);     793
90+;     182 (72);      70 (28);     252
I alt;   6.759 (58);   4.975 (42);  11.734
