Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     193 (51);     184 (49);     377
10-19;     378 (55);     304 (45);     682
20-29;   1.149 (61);     730 (39);   1.879
30-39;   1.135 (60);     768 (40);   1.903
40-49;   1.345 (60);     910 (40);   2.255
50-59;   1.392 (59);     952 (41);   2.344
60-69;     736 (50);     742 (50);   1.478
70-79;     502 (46);     598 (54);   1.100
80-89;     480 (57);     359 (43);     839
90+;     194 (73);      73 (27);     267
I alt;   7.504 (57);   5.620 (43);  13.124
