Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     193 (51);     184 (49);     377
10-19;     375 (55);     302 (45);     677
20-29;   1.146 (61);     729 (39);   1.875
30-39;   1.134 (60);     766 (40);   1.900
40-49;   1.343 (60);     907 (40);   2.250
50-59;   1.387 (59);     949 (41);   2.336
60-69;     736 (50);     738 (50);   1.474
70-79;     502 (46);     597 (54);   1.099
80-89;     480 (57);     359 (43);     839
90+;     192 (72);      73 (28);     265
I alt;   7.488 (57);   5.604 (43);  13.092
