"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;7;2;90827;0.0;0.0
0-2;M;1;0;95727;0.0;0.0
3-5;K;8260;4487;91055;9.1;4.9
3-5;M;9010;4961;96330;9.4;5.2
6-11;K;89427;62714;179045;49.9;35.0
6-11;M;94425;66338;188183;50.2;35.3
12-15;K;107079;102516;132617;80.7;77.3
12-15;M;112958;108184;140190;80.6;77.2
16-19;K;121218;119397;134113;90.4;89.0
16-19;M;125033;122564;140380;89.1;87.3
20-39;K;622826;609024;732855;85.0;83.1
20-39;M;628267;612711;763385;82.3;80.3
40-64;K;884839;879348;946112;93.5;92.9
40-64;M;875544;869706;947556;92.4;91.8
65-79;K;457106;456125;470710;97.1;96.9
65-79;M;421342;420417;433354;97.2;97.0
80+;K;168268;167734;173462;97.0;96.7
80+;M;115673;115404;118405;97.7;97.5
