"Regionsnavn";"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;0-2;K;3;0
Hovedstaden;0-2;M;0;0
Hovedstaden;3-5;K;2503;1306
Hovedstaden;3-5;M;2705;1427
Hovedstaden;6-11;K;25692;16598
Hovedstaden;6-11;M;26992;17418
Hovedstaden;12-15;K;30738;29121
Hovedstaden;12-15;M;32536;30856
Hovedstaden;16-19;K;34514;33818
Hovedstaden;16-19;M;35298;34391
Hovedstaden;20-39;K;232576;227271
Hovedstaden;20-39;M;223423;217736
Hovedstaden;40-64;K;271781;269664
Hovedstaden;40-64;M;267201;264996
Hovedstaden;65-79;K;126729;126382
Hovedstaden;65-79;M;109437;109137
Hovedstaden;80+;K;48032;47854
Hovedstaden;80+;M;29781;29694
Midtjylland;0-2;K;2;1
Midtjylland;0-2;M;1;0
Midtjylland;3-5;K;2129;1176
Midtjylland;3-5;M;2333;1290
Midtjylland;6-11;K;23113;16933
Midtjylland;6-11;M;24448;17845
Midtjylland;12-15;K;26276;25301
Midtjylland;12-15;M;27418;26403
Midtjylland;16-19;K;29613;29277
Midtjylland;16-19;M;30392;29924
Midtjylland;20-39;K;148434;145623
Midtjylland;20-39;M;151146;147917
Midtjylland;40-64;K;199140;198169
Midtjylland;40-64;M;197873;196848
Midtjylland;65-79;K;101916;101762
Midtjylland;65-79;M;96446;96281
Midtjylland;80+;K;36427;36330
Midtjylland;80+;M;26059;26008
Nordjylland;0-2;K;0;0
Nordjylland;0-2;M;0;0
Nordjylland;3-5;K;852;463
Nordjylland;3-5;M;910;502
Nordjylland;6-11;K;9329;6625
Nordjylland;6-11;M;9711;6899
Nordjylland;12-15;K;10942;10465
Nordjylland;12-15;M;11624;11157
Nordjylland;16-19;K;12321;12170
Nordjylland;16-19;M;12951;12722
Nordjylland;20-39;K;59456;58139
Nordjylland;20-39;M;64464;62779
Nordjylland;40-64;K;88523;88034
Nordjylland;40-64;M;88754;88215
Nordjylland;65-79;K;49799;49689
Nordjylland;65-79;M;47740;47631
Nordjylland;80+;K;18491;18439
Nordjylland;80+;M;13426;13395
Sjælland;0-2;K;0;0
Sjælland;0-2;M;0;0
Sjælland;3-5;K;1067;592
Sjælland;3-5;M;1190;673
Sjælland;6-11;K;11782;8222
Sjælland;6-11;M;12577;8799
Sjælland;12-15;K;15718;15143
Sjælland;12-15;M;16708;16065
Sjælland;16-19;K;17901;17656
Sjælland;16-19;M;19020;18660
Sjælland;20-39;K;67416;65674
Sjælland;20-39;M;69493;67602
Sjælland;40-64;K;136338;135474
Sjælland;40-64;M;133810;132940
Sjælland;65-79;K;76168;75992
Sjælland;65-79;M;70790;70640
Sjælland;80+;K;26112;26021
Sjælland;80+;M;18698;18659
Syddanmark;0-2;K;2;1
Syddanmark;0-2;M;0;0
Syddanmark;3-5;K;1709;950
Syddanmark;3-5;M;1872;1069
Syddanmark;6-11;K;19511;14336
Syddanmark;6-11;M;20697;15377
Syddanmark;12-15;K;23405;22486
Syddanmark;12-15;M;24672;23703
Syddanmark;16-19;K;26869;26476
Syddanmark;16-19;M;27372;26867
Syddanmark;20-39;K;114944;112317
Syddanmark;20-39;M;119741;116677
Syddanmark;40-64;K;189057;188007
Syddanmark;40-64;M;187906;186707
Syddanmark;65-79;K;102494;102300
Syddanmark;65-79;M;96929;96728
Syddanmark;80+;K;39206;39090
Syddanmark;80+;M;27709;27648
