"Kommunenavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
København;507408;493087;645085
Frederiksberg;86747;84670;103599
Ballerup;38979;37869;49191
Brøndby;25846;24964;35770
Dragør;12269;11875;14622
Gentofte;62191;60457;74244
Gladsaxe;55476;53707;69247
Glostrup;18251;17705;23468
Herlev;22632;21884;28802
Albertslund;20621;19851;27626
Hvidovre;41466;40018;53229
Høje-Taastrup;39635;38326;53061
Lyngby-Taarbæk;48658;47218;57788
Rødovre;32130;31021;41461
Ishøj;16141;15570;23220
Tårnby;34197;33117;42680
Vallensbæk;12551;12159;16496
Furesø;34238;33239;41397
Allerød;21988;21444;25833
Fredensborg;33534;32648;41208
Helsingør;51709;50479;62848
Hillerød;44079;42969;53317
Hørsholm;21118;20627;24732
Rudersdal;48462;47218;57244
Egedal;36931;35940;44407
Frederikssund;38510;37602;45808
Greve;40726;39638;50816
Køge;50405;48971;61649
Frederiksværk-Hundested;25986;25331;31350
Roskilde;74991;73238;89478
Solrød;19491;18995;23817
Gribskov;34148;33381;41155
Odsherred;27625;27107;32819
Holbæk;60640;59263;72865
Faxe;30426;29697;37173
Kalundborg;39763;38931;48365
Ringsted;28180;27467;35149
Slagelse;64936;63346;79678
Stevns;19455;18996;23501
Sorø;25183;24671;30005
Lejre;23739;23224;28584
Lolland;32828;32159;40080
Næstved;69233;67710;83860
Guldborgsund;49718;48740;60275
Vordingborg;37449;36659;45322
Bornholm;34040;33293;39644
Middelfart;33918;33197;39634
Assens;34969;34138;40934
Faaborg-Midtfyn;44208;43148;51823
Kerteminde;20514;20016;24012
Nyborg;27548;26892;32127
Odense;172230;167856;205997
Svendborg;50559;49475;59198
Nordfyns;24963;24333;29725
Langeland;10557;10371;12304
Ærø;5281;5169;6029
Haderslev;45618;44641;55305
Billund;22195;21735;26667
Sønderborg;61655;60252;73739
Tønder;29931;29241;36816
Esbjerg;95730;93628;115491
Fanø;2966;2919;3421
Varde;41194;40267;49669
Vejen;34965;34088;42571
Aabenraa;47253;46260;58664
Fredericia;43025;42056;51597
Horsens;76935;75115;94562
Kolding;76940;75246;93529
Vejle;97876;95811;119153
Herning;74621;72999;89261
Holstebro;49390;48270;58516
Lemvig;16568;16267;19404
Struer;17849;17485;20791
Syddjurs;36922;36094;43613
Norddjurs;31285;30639;36930
Favrskov;41390;40359;48872
Odder;19961;19429;23319
Randers;82604;80766;99007
Silkeborg;80912;78983;97438
Samsø;3248;3203;3710
Skanderborg;53947;52409;64377
Århus;295914;288603;355343
Ikast-Brande;34324;33587;41869
Ringkøbing-Skjern;46895;45887;56196
Hedensted;39579;38805;47103
Morsø;17048;16609;20050
Skive;38826;38047;45077
Thisted;36312;35439;43091
Viborg;81996;80141;96820
Brønderslev-Dronninglund;30480;29739;36202
Frederikshavn;50152;49184;58868
Vesthimmerlands;30064;29347;36325
Læsø;1532;1505;1775
Rebild;25485;24834;30657
Mariagerfjord;35224;34327;41633
Jammerbugt;32303;31504;38177
Ålborg;186230;181558;221103
Hjørring;54463;53278;63844
