"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90828;0.0;0.0
0-2;M;1;0;95727;0.0;0.0
3-5;K;9027;4997;91822;9.8;5.4
3-5;M;9816;5486;97136;10.1;5.6
6-11;K;90741;63876;180359;50.3;35.4
6-11;M;95838;67672;189596;50.5;35.7
12-15;K;119697;115449;145235;82.4;79.5
12-15;M;125738;121204;152970;82.2;79.2
16-19;K;124202;122355;137097;90.6;89.2
16-19;M;126949;124401;142296;89.2;87.4
20-39;K;622536;608774;732565;85.0;83.1
20-39;M;626754;611307;761872;82.3;80.2
40-64;K;891220;885764;952493;93.6;93.0
40-64;M;882526;876752;954538;92.5;91.9
65-79;K;449970;449024;463574;97.1;96.9
65-79;M;412885;411981;424897;97.2;97.0
80+;K;151629;151106;156823;96.7;96.4
80+;M;101746;101482;104478;97.4;97.1
