"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;60370;39335;297871;20.3;13.2
0-9;M;64455;42069;314477;20.5;13.4
10-19;K;265621;249781;329786;80.5;75.7
10-19;M;276972;259978;346333;80.0;75.1
20-29;K;322249;314846;382455;84.3;82.3
20-29;M;327855;318821;398896;82.2;79.9
30-39;K;300577;294178;350400;85.8;84.0
30-39;M;300412;293890;364489;82.4;80.6
40-49;K;337539;334511;367669;91.8;91.0
40-49;M;329279;326027;368010;89.5;88.6
50-59;K;377826;375936;401151;94.2;93.7
50-59;M;379392;377435;405055;93.7;93.2
60-69;K;328876;327893;342413;96.0;95.8
60-69;M;319163;318106;332082;96.1;95.8
70-79;K;297704;297133;305589;97.4;97.2
70-79;M;269052;268555;275763;97.6;97.4
80-89;K;137663;137294;141529;97.3;97.0
80-89;M;102634;102415;104981;97.8;97.6
90+;K;30605;30440;31933;95.8;95.3
90+;M;13039;12989;13424;97.1;96.8
